          DH  INJV           Xt           Mt          XMt          NDH
     0.20742   0.2      0.00000      0.00000      0.00000      0.00000
    15.55009   3.0      0.00000      0.00000      0.00000      0.00000
     9.19978   3.0      0.00000      0.00000      0.00000      0.00000
     1.35459   3.0      0.00000      0.00000      0.00000      0.00000
    -1.26542   3.0      0.00000      0.00000      0.00000      0.00000
    -1.59360   3.0      0.00000      0.00000      0.00000      0.00000
    -1.30375   3.0      0.00000      0.00000      0.00000      0.00000
    -0.52169   3.0      0.00000      0.00000      0.00000      0.00000
     0.48918   3.0      0.00000      0.00000      0.00000      0.00000
     1.71902   3.0      0.00000      0.00000      0.00000      0.00000
     3.21756   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
