          DH  INJV           Xt           Mt          XMt          NDH
    -3.68456   3.0      0.00000      0.00000      0.00000      0.00000
     3.18807   3.0      0.00000      0.00000      0.00000      0.00000
     3.42552   3.0      0.00000      0.00000      0.00000      0.00000
     4.11907   3.0      0.00000      0.00000      0.00000      0.00000
    -1.99443   3.0      0.00000      0.00000      0.00000      0.00000
    -0.72104   3.0      0.00000      0.00000      0.00000      0.00000
    -0.73888   3.0      0.00000      0.00000      0.00000      0.00000
    -0.67381   3.0      0.00000      0.00000      0.00000      0.00000
    -0.73411   3.0      0.00000      0.00000      0.00000      0.00000
    -0.78224   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
