time	cp
2	1.37874E-5
4	0.00124
6	8.29935E-4
8	6.69009E-4
10	0.0019
12	0.00166
14	0.00211
16	0.00302
18	0.00364
20	0.00361
22	0.0027
24	0.0026
26	0.00298
28	0.00292
30	0.00313
32	0.00271
34	0.00193
36	0.00241
38	0.00401
40	0.00301
42	0.00235
44	0.00337
46	0.00358
48	0.00301
50	0.00271
52	0.00286
54	0.00238
56	0.00324
58	0.00269
60	5.96933E-4
62	1.9007E-5
64	4.06081E-4
66	-0.00134
68	5.85229E-4
70	0.00544
72	0.00531
74	-0.001
76	-0.0107
78	-0.02193
80	-0.03417
82	-0.04586
84	-0.05829
86	-0.08063
88	-0.1039
90	-0.12254
92	-0.13325
94	-0.13647
96	-0.13573
98	-0.13214
100	-0.12703
102	-0.12073
104	-0.11311
106	-0.10483
108	-0.09836
110	-0.09001
112	-0.08113
114	-0.07332
116	-0.06694
118	-0.06138
120	-0.05729
122	-0.05252
124	-0.04578
126	-0.04007
128	-0.03733
130	-0.03326
132	-0.02857
134	-0.02671
136	-0.02392
138	-0.02077
140	-0.01765
142	-0.01628
144	-0.01481
146	-0.01331
148	-0.01226
150	-0.01123
152	-0.00928
154	-0.00967
156	-0.00953
158	-0.0076
160	-0.00529
162	-0.0032
164	-0.00365
166	-0.00292
168	-0.00302
170	-0.00355
172	-0.00211
174	-0.00152
176	-2.09776E-4
178	7.21298E-4
180	8.98372E-4
182	8.85446E-4
184	0.00152
186	0.00121
188	5.50668E-4
190	0.00153
192	0.0017
194	0.00138
196	0.00208
198	0.00129
200	0.00127
202	0.00212
204	0.00224
206	0.00326
208	0.00453
210	0.00553
212	0.00508
214	0.0047
216	0.00559
218	0.00612
220	0.00508
222	0.00523
224	0.00544
226	0.00413
228	0.005
230	0.00497
232	0.00441
234	0.00466
236	0.00455
238	0.00386
240	0.00367
242	0.00443
244	0.00429
246	0.00585
248	0.00575
250	0.00495
252	0.00479
254	0.00424
256	0.0039
258	0.00303
260	0.00343
262	0.0036
264	0.00347
266	0.00279
268	0.004
270	0.00439
272	0.00418
274	0.00368
276	0.00366
278	0.00353
280	0.00351
282	0.00385
284	0.00485
286	0.00384
288	0.00467
290	0.00574
292	0.00531
294	0.00559
296	0.00506
298	0.00466
300	0.00391
302	0.00301
304	0.00405
306	0.00437
308	0.00448
310	0.00365
312	0.00391
314	0.00308
316	0.0035
318	0.00442
320	0.00496
322	0.0052
324	0.00548
326	0.00566
328	0.00634
330	0.00677
332	0.00617
334	0.00418
336	0.0041
338	0.00437
340	0.00483
342	0.00418
344	0.00353
346	0.00294
348	0.00313
350	0.00403
352	0.0037
354	0.00306
356	0.00182
358	0.00253
360	0.00299
362	0.00302
364	0.00309
366	0.00292
368	0.00203
370	8.70401E-4
372	3.67475E-4
374	0.00156
376	0.00328
378	0.00287
380	0.00182
382	0.00142
384	0.00244
386	0.0029
388	0.00314
390	0.00323
392	0.00278
394	0.0027
396	0.00259
398	0.00317
400	0.00327
402	0.00183
404	0.00106
406	8.44815E-4
408	3.63728E-4
410	1.0264E-4
412	8.15552E-4
414	0.00147
416	-9.38623E-4
418	3.82892E-5
420	0.00124
422	7.89114E-4
424	-3.89738E-5
426	-7.37061E-4
428	-9.21149E-4
430	-7.23676E-6
432	6.16676E-4
434	7.9076E-4
436	8.66643E-4
438	0.00127
440	2.92408E-4
442	-4.17094E-5
444	6.01733E-5
446	-5.79944E-4
448	-3.16061E-4
450	-9.45179E-4
452	-0.00116
454	-0.00131
456	-1.25306E-5
458	0.00105
460	0.00167
462	0.00251
464	0.00123
466	-4.30117E-4
468	4.27766E-4
470	0.00715
472	0.0197
474	0.02988
476	0.03108
478	0.0266
480	0.0211
482	0.01634
484	0.01161
486	0.00614
488	-4.18168E-4
490	-0.01865
492	-0.04174
494	-0.06194
496	-0.07563
498	-0.08366
500	-0.08708
502	-0.08902
504	-0.08872
506	-0.08535
508	-0.08103
510	-0.07584
512	-0.07142
514	-0.06607
516	-0.06019
518	-0.05755
520	-0.0532
522	-0.04931
524	-0.04479
526	-0.04212
528	-0.03879
530	-0.03441
532	-0.0317
534	-0.02949
536	-0.02804
538	-0.02729
540	-0.02554
542	-0.0229
544	-0.02126
546	-0.01938
548	-0.01761
550	-0.01776
552	-0.01805
554	-0.01774
556	-0.01665
558	-0.01369
560	-0.01228
562	-0.01241
