DH	INJV	Xt	Mt	XMt	NDH
79.19543	8	0	0.212	0.26389	989.94282
62.02522	8	0.05563	0.21082	0.52924	775.31523
42.89507	8	0.11095	0.20965	0.79606	536.1884
26.64095	8	0.16596	0.20848	1.06435	333.01188
13.40467	8	0.22066	0.20732	1.33411	167.55838
1.25019	8	0.27505	0.20617	1.60533	15.62737
-12.39507	8	0.32913	0.20502	1.87802	-154.93837
-26.66834	8	0.38289	0.20388	2.15219	-333.35424
-40.07927	8	0.43634	0.20274	2.42782	-500.99088
-50.273	8	0.48949	0.20162	2.70491	-628.41256
-56.4245	8	0.54232	0.20049	2.98348	-705.30625
-60.16676	8	0.59484	0.19938	3.26351	-752.08453
-61.64999	8	0.64705	0.19827	3.54501	-770.62493
-61.74729	8	0.69895	0.19716	3.82798	-771.84114
-61.12011	8	0.75053	0.19606	4.11242	-764.00139
-61.83698	8	0.80181	0.19497	4.39833	-772.96222
-61.03372	8	0.85277	0.19389	4.6857	-762.92153
-60.29954	8	0.90342	0.1928	4.97454	-753.74431
-60.94594	8	0.95376	0.19173	5.26485	-761.82428
-60.11669	8	1.0038	0.19066	5.55663	-751.45864
-61.05829	8	1.05351	0.1896	5.84988	-763.22868
-60.31574	8	1.10292	0.18854	6.14459	-753.94681
-60.41773	8	1.15202	0.18748	6.44078	-755.2216
-59.97988	8	1.2008	0.18644	6.73843	-749.74856
-59.45834	8	1.24928	0.1854	7.03755	-743.22919
-59.67549	8	1.29744	0.18436	7.33813	-745.94357
-59.19869	8	1.34529	0.18333	7.64019	-739.98362
-59.04152	8	1.39283	0.1823	7.94371	-738.01904
-58.80473	8	1.44006	0.18128	8.2487	-735.05917
-58.09045	8	1.48698	0.18027	8.55516	-726.13066
	--	1.53359	0.17926	--	
