time	cp
2	-8.64772E-4
4	-0.00128
6	-4.5276E-4
8	5.41246E-4
10	8.17253E-4
12	0.00136
14	5.04265E-4
16	9.06272E-4
18	4.47278E-4
20	4.42284E-4
22	8.78291E-4
24	-2.29703E-4
26	-2.43697E-4
28	-1.48691E-4
30	-9.53684E-4
32	3.51322E-4
34	4.08328E-4
36	7.43347E-5
38	8.98341E-4
40	2.34347E-4
42	0.00123
44	4.8036E-4
46	-2.34634E-4
48	-6.48628E-4
50	-0.00124
52	-7.75615E-4
54	-5.42609E-4
56	-4.36602E-4
58	-6.18596E-4
60	-3.4259E-4
62	1.64166E-5
64	2.51423E-4
66	-3.99571E-4
68	-0.00418
70	-0.04472
72	-0.16325
74	-0.32585
76	-0.50847
78	-0.68878
80	-0.86101
82	-1.01805
84	-1.15645
86	-1.22115
88	-1.1906
90	-1.11066
92	-1.0114
94	-0.90869
96	-0.80875
98	-0.71551
100	-0.62932
102	-0.55275
104	-0.48478
106	-0.42429
108	-0.37052
110	-0.32326
112	-0.28298
114	-0.24817
116	-0.21914
118	-0.19311
120	-0.17177
122	-0.15337
124	-0.13632
126	-0.12181
128	-0.1104
130	-0.10017
132	-0.09106
134	-0.08314
136	-0.07755
138	-0.07218
140	-0.06641
142	-0.06235
144	-0.05898
146	-0.05504
148	-0.05155
150	-0.04814
152	-0.04518
154	-0.04261
156	-0.04106
158	-0.03719
160	-0.03448
162	-0.03336
164	-0.03153
166	-0.02972
168	-0.02723
170	-0.02513
172	-0.02258
174	-0.02214
176	-0.02153
178	-0.02045
180	-0.01904
182	-0.01768
184	-0.01754
186	-0.01824
188	-0.01704
190	-0.0152
192	-0.01426
194	-0.01411
196	-0.01276
198	-0.01197
200	-0.01072
202	-0.01032
204	-0.0109
206	-0.01125
208	-0.01032
210	-0.00842
212	-0.00777
214	-0.00715
216	-0.0056
218	-0.00585
220	-0.0075
222	-0.00794
224	-0.00727
226	-0.0066
228	-0.00562
230	-0.00473
232	-0.00501
234	-0.00663
236	-0.00487
238	-0.00415
240	-0.00459
242	-0.00467
244	-0.00574
246	-0.00565
248	-0.00476
250	-0.00482
252	-0.00464
254	-0.00469
256	-0.00493
258	-0.00503
260	-0.00449
262	-0.00339
264	-0.00331
266	-0.00357
268	-0.00323
270	-0.00273
272	-0.00319
274	-0.00379
276	-0.0036
278	-0.00377
280	-0.00309
282	-0.00248
284	-0.00307
286	-0.00312
288	-0.00315
290	-0.0027
292	-0.00284
294	-0.00203
296	-9.81846E-4
298	-8.6484E-4
300	-0.00234
302	-0.00279
304	-0.00272
306	-0.00223
308	-0.00182
310	-0.00259
312	-0.00331
314	-0.00276
316	-0.00142
318	-0.00145
320	-9.76771E-4
322	-3.28764E-4
324	4.02242E-4
326	0.00193
328	0.00212
330	9.00261E-4
332	3.94267E-4
334	-0.00129
336	-9.1572E-4
338	-0.00102
340	-0.00127
342	-0.00155
344	-0.00191
346	-0.00176
348	-0.00194
350	-3.02676E-4
352	0.00129
354	0.00145
356	0.00144
358	5.87349E-4
360	-2.92645E-4
362	-0.00147
364	-0.00223
366	-0.00297
368	-0.00258
370	-0.00179
372	-0.00141
374	-4.35601E-4
376	1.87406E-4
378	-3.61588E-4
380	-4.89582E-4
382	-7.85575E-4
384	-7.85692E-5
386	0.00128
388	-1.40901E-4
390	-3.10089E-4
392	-3.69277E-4
394	4.75535E-4
396	0.00107
398	0.00115
400	9.57971E-4
402	8.70783E-4
404	0.00182
406	8.89407E-4
408	-5.0278E-4
410	-2.16968E-4
412	3.88437E-5
414	-2.37344E-4
416	-1.23532E-4
418	-6.0472E-4
420	-4.43908E-4
422	-9.61096E-4
424	-9.35284E-4
426	-5.02472E-4
428	-3.4566E-4
430	-0.0011
432	3.64964E-4
434	-8.63229E-4
436	-3.40456E-4
438	0.0011
440	0.00101
442	3.6864E-5
444	7.80637E-4
446	0.00187
448	0.00157
450	9.70957E-4
452	-3.5927E-4
454	-4.54497E-4
456	1.13277E-4
458	-4.9095E-4
460	1.06823E-4
462	-3.07404E-4
464	-0.0015
466	-0.00101
468	-6.33084E-4
470	-0.01361
472	-0.10309
474	-0.26307
476	-0.44744
478	-0.63284
480	-0.80526
482	-0.96299
484	-1.10579
486	-1.2316
488	-1.33941
490	-1.38071
492	-1.32772
494	-1.22941
496	-1.11428
498	-0.99713
500	-0.88326
502	-0.7779
504	-0.68171
506	-0.5951
508	-0.51805
510	-0.45163
512	-0.39413
514	-0.34277
516	-0.29814
518	-0.26191
520	-0.22987
522	-0.2016
524	-0.17838
526	-0.15871
528	-0.14131
530	-0.12715
532	-0.11379
534	-0.10347
536	-0.0941
538	-0.08634
540	-0.07982
542	-0.07496
544	-0.07014
546	-0.06442
548	-0.05871
550	-0.05477
552	-0.04991
554	-0.04544
556	-0.0424
558	-0.03938
560	-0.03733
562	-0.03478
564	-0.03205
566	-0.02963
568	-0.02752
570	-0.0259
572	-0.02329
574	-0.02091
576	-0.02002
578	-0.01902
580	-0.01745
582	-0.01615
584	-0.01479
586	-0.01538
588	-0.01529
590	-0.01535
592	-0.01583
594	-0.01396
596	-0.01142
598	-0.01153
600	-0.01042
602	-0.00981
604	-0.00858
606	-0.00889
608	-0.00904
610	-0.00738
612	-0.00563
614	-0.00448
616	-0.00371
618	-0.00392
620	-0.00476
622	-0.00428
624	-0.00388
626	-0.0051
628	-0.00484
630	-0.00423
632	-0.00435
634	-0.00492
636	-0.00407
638	-0.00298
640	-0.0032
642	-0.00338
644	-0.00341
646	-0.00302
648	-0.00444
650	-0.00501
652	-0.00544
654	-0.00614
656	-0.00636
658	-0.00512
660	-0.00432
662	-0.00345
664	-0.00335
666	-0.00267
668	-0.00402
670	-0.00352
672	-0.00241
674	-0.00157
676	-0.0026
678	-0.00329
680	-0.0033
682	-0.00189
684	-0.00199
686	-0.00323
688	-0.00308
690	-0.00295
692	-0.00231
694	-0.00262
696	-0.00232
698	-8.53911E-4
700	-0.00136
702	-5.79365E-4
704	-8.74092E-4
706	-0.00158
708	-0.00207
710	-0.00171
712	-0.00178
714	-0.00108
716	-0.00151
718	-0.00158
720	-0.00146
722	-8.82637E-4
724	4.73636E-4
726	3.34909E-4
728	4.62181E-4
730	9.64454E-4
732	0.00181
734	8.74E-4
736	5.88273E-4
738	-6.82455E-4
740	5.54818E-4
742	3.46091E-4
744	-1.03636E-4
746	-6.95363E-4
748	-9.89091E-4
750	-7.44818E-4
752	-7.77545E-4
754	-6.30272E-4
756	-4.48999E-4
758	-0.00251
760	-0.00257
762	-0.00203
764	-0.002
766	-0.00129
768	-8.62363E-4
770	-0.00141
772	-0.00114
774	-0.00161
776	-9.02189E-4
778	4.05551E-5
780	6.94299E-4
782	-3.49574E-5
784	-3.11214E-4
786	4.3953E-4
788	-1.84726E-4
790	-2.59823E-5
792	-2.75239E-4
794	-8.54495E-4
796	-4.48751E-4
798	2.36993E-4
800	9.89736E-4
802	9.6248E-4
804	1.80224E-4
806	-5.65032E-4
808	9.52712E-4
810	7.57455E-4
812	3.02199E-4
814	0.0011
816	7.37687E-4
818	7.72907E-4
820	4.5743E-4
822	7.04953E-4
824	0.00192
826	3.78E-4
828	4.88523E-4
830	9.49047E-4
832	7.4057E-4
834	0.00101
836	8.92617E-4
838	7.7914E-4
840	3.03663E-4
842	4.54187E-4
844	9.8771E-4
846	3.33233E-4
848	4.38757E-4
850	0.00182
852	0.00306
854	0.00143
856	-4.7015E-4
858	-0.00133
860	-5.57103E-4
862	-3.4558E-4
864	-5.30569E-5
866	0.00103
868	0.00199
870	0.00221
872	0.00161
874	-0.0101
876	-0.09572
878	-0.25385
880	-0.4346
882	-0.61635
884	-0.79126
886	-0.94924
888	-1.09442
