DH	INJV	Xt	Mt	XMt	NDH
34.50603	8	0	0.085	0.32908	862.65071
29.99932	8	0.02782	0.08453	0.65999	749.983
25.28399	8	0.05548	0.08406	0.99273	632.09967
22.24949	8	0.08298	0.08359	1.32731	556.23734
19.40644	8	0.11033	0.08312	1.66371	485.16098
18.17173	8	0.13752	0.08266	2.00194	454.29332
15.82018	8	0.16456	0.0822	2.34201	395.5045
15.27577	8	0.19145	0.08174	2.6839	381.89414
14.69206	8	0.21817	0.08129	3.02763	367.30159
14.27668	8	0.24474	0.08084	3.37319	356.91695
13.43041	8	0.27116	0.08039	3.72057	335.76024
13.52424	8	0.29742	0.07994	4.06979	338.10592
13.23784	8	0.32352	0.07949	4.42084	330.94599
13.28067	8	0.34947	0.07905	4.77372	332.0168
13.46706	8	0.37527	0.07861	5.12843	336.67654
13.3084	8	0.4009	0.07817	5.48497	332.71007
13.66467	8	0.42639	0.07774	5.84335	341.61685
13.54289	8	0.45171	0.0773	6.20355	338.5722
13.87363	8	0.47688	0.07687	6.56558	346.84068
13.67809	8	0.5019	0.07644	6.92945	341.95231
12.87477	8	0.52676	0.07602	7.29514	321.86928
13.56467	8	0.55146	0.07559	7.66267	339.11667
13.95886	8	0.57601	0.07517	8.03203	348.9714
14.01362	8	0.6004	0.07475	8.40321	350.34058
13.79957	8	0.62464	0.07433	8.77623	344.98924
14.0522	8	0.64872	0.07392	9.15108	351.30501
13.98587	8	0.67265	0.0735	9.52776	349.64666
14.00404	8	0.69642	0.07309	9.90627	350.10097
13.86998	8	0.72003	0.07268	10.28661	346.7495
13.80467	8	0.74349	0.07228	10.66879	345.11686
	--	0.76679	0.07187	--	
