DH	INJV	Xt	Mt	XMt	NDH
-0.25156	10	0	0.00995	0.3153	-56.40392
-0.19898	10	0.00312	0.00988	0.63281	-44.61439
-0.31933	10	0.00621	0.00981	0.95252	-71.59812
-0.35334	10	0.00928	0.00974	1.27443	-79.22485
-0.36669	10	0.01233	0.00967	1.59854	-82.21683
-0.3354	10	0.01536	0.00961	1.92486	-75.2012
-0.3226	10	0.01836	0.00954	2.25338	-72.33135
-0.25242	10	0.02135	0.00947	2.5841	-56.59584
-0.17737	10	0.02431	0.00941	2.91702	-39.76921
-0.23872	10	0.02725	0.00934	3.25215	-53.52469
	--	0.03017	0.00928	--	
