time	cp
2	9.79507
4	9.79479
6	9.79419
8	9.79373
10	9.79265
12	9.79295
14	9.79356
16	9.79288
18	9.79235
20	9.79203
22	9.79149
24	9.79111
26	9.79135
28	9.7919
30	9.79103
32	9.79048
34	9.79021
36	9.78903
38	9.78931
40	9.7889
42	9.78937
44	9.78998
46	9.78997
48	9.79036
50	9.79008
52	9.7895
54	9.78973
56	9.78986
58	9.78967
60	9.78883
62	9.78974
64	9.78923
66	9.78817
68	9.78885
70	9.78833
72	9.78795
74	9.78756
76	9.78747
78	9.78713
80	9.78729
82	9.7882
84	9.78823
86	9.78872
88	9.78838
90	9.78746
92	9.78741
94	9.7869
96	9.78731
98	9.78686
100	9.78686
102	9.78651
104	9.78651
106	9.78644
108	9.78568
110	9.78577
112	9.78582
114	9.78573
116	9.78518
118	9.78467
120	9.78456
122	9.78412
124	9.78413
126	9.7854
128	9.78418
130	9.78412
132	9.78425
134	9.78384
136	9.78443
138	9.78428
140	9.78316
142	9.78349
144	9.78436
146	9.78441
148	9.78406
150	9.78354
152	9.78287
154	9.78378
156	9.78453
158	9.78451
160	9.7846
162	9.78331
164	9.78266
166	9.78335
168	9.78357
170	9.7825
172	9.7809
174	9.78012
176	9.78081
178	9.78118
180	9.78068
182	9.78144
184	9.78219
186	9.78225
188	9.78221
190	9.78196
192	9.78104
194	9.78041
196	9.78019
198	9.78011
200	9.77999
202	9.78037
204	9.78009
206	9.78009
208	9.77956
210	9.78007
212	9.78003
214	9.77946
216	9.77876
218	9.77908
220	9.77858
222	9.77898
224	9.77847
226	9.77833
228	9.77759
230	9.778
232	9.77852
234	9.77888
236	9.77906
238	9.77867
240	9.77837
242	9.77775
244	9.77811
246	9.77821
248	9.77716
250	9.77736
252	9.77778
254	9.77748
256	9.7771
258	9.77693
260	9.7761
262	9.77626
264	9.77552
266	9.77583
268	9.77539
270	9.77538
272	9.77615
274	9.77722
276	9.77706
278	9.77685
280	9.77727
282	9.777
284	9.77629
286	9.77548
288	9.77507
290	9.77488
292	9.77351
294	9.77366
296	9.77365
298	9.77429
300	9.77581
302	9.7761
304	9.77478
306	9.77124
308	9.76823
310	9.76609
312	9.76501
314	9.76372
316	9.76193
318	9.76158
320	9.7605
322	9.76013
324	9.76046
326	9.76349
328	9.76575
330	9.76703
332	9.76813
334	9.76909
336	9.77001
338	9.77013
340	9.77108
342	9.77207
344	9.77229
346	9.7717
348	9.77178
350	9.77087
352	9.77057
354	9.77074
356	9.77027
358	9.76914
360	9.76955
362	9.76901
364	9.76822
366	9.7694
368	9.77045
370	9.77007
372	9.77077
374	9.77052
376	9.7692
378	9.76833
380	9.76928
382	9.7697
384	9.7695
386	9.7684
388	9.76771
390	9.7678
392	9.76678
394	9.76693
396	9.76775
398	9.76879
400	9.76882
402	9.7678
404	9.7676
406	9.76816
408	9.76805
410	9.76866
412	9.76826
414	9.76836
416	9.76842
418	9.76833
420	9.76796
422	9.76733
424	9.76846
426	9.76958
428	9.76988
430	9.76909
432	9.76917
434	9.76825
436	9.76811
438	9.76844
440	9.76716
442	9.76738
444	9.76644
446	9.76603
448	9.76589
450	9.76719
452	9.76718
454	9.76591
456	9.76545
458	9.76629
460	9.76649
462	9.76674
464	9.76606
466	9.7657
468	9.76526
470	9.76559
472	9.76517
474	9.76563
476	9.76514
478	9.7649
480	9.76427
482	9.76315
484	9.76291
486	9.76406
488	9.76506
490	9.76569
492	9.76518
494	9.766
496	9.76639
498	9.76646
500	9.76624
502	9.76497
504	9.76455
506	9.76496
508	9.76428
510	9.76439
512	9.7656
514	9.76637
516	9.76641
518	9.76675
520	9.76652
522	9.76629
524	9.76662
526	9.76653
528	9.76547
530	9.76414
532	9.76306
534	9.76268
536	9.76192
538	9.76258
540	9.76259
542	9.76209
544	9.76202
546	9.75867
548	9.75615
550	9.75593
552	9.75466
554	9.75304
556	9.75222
558	9.75141
560	9.7502
562	9.75027
564	9.75151
566	9.75346
568	9.75559
570	9.75736
572	9.75857
574	9.75916
576	9.76077
578	9.76142
580	9.76071
582	9.76121
584	9.76154
586	9.76173
588	9.7614
590	9.76048
592	9.75935
594	9.75949
596	9.76024
598	9.75916
600	9.75818
602	9.75896
604	9.75953
606	9.76037
608	9.76029
610	9.76002
612	9.75966
614	9.75939
616	9.75971
618	9.75998
620	9.7603
622	9.76066
624	9.76098
626	9.7604
628	9.76008
630	9.75999
632	9.75976
634	9.75919
636	9.75975
638	9.75994
640	9.75967
642	9.76071
644	9.76034
646	9.76052
648	9.76087
650	9.7603
652	9.75816
654	9.75781
656	9.75794
658	9.75896
660	9.76009
662	9.76054
664	9.75989
666	9.76059
668	9.76056
670	9.75938
672	9.7586
674	9.75866
676	9.75893
678	9.75847
680	9.75747
682	9.7576
684	9.75708
686	9.7569
688	9.75753
690	9.75783
692	9.7587
694	9.75786
696	9.75755
698	9.75732
700	9.75728
702	9.75788
704	9.7587
706	9.75883
708	9.75876
710	9.75823
712	9.75831
714	9.75792
716	9.75811
718	9.75848
720	9.75793
722	9.7583
724	9.75826
726	9.75682
728	9.75663
730	9.75526
732	9.75522
734	9.75639
736	9.75557
738	9.75558
740	9.75447
742	9.75348
744	9.75378
746	9.75522
748	9.75605
750	9.75669
752	9.7564
754	9.75618
756	9.75631
758	9.7566
760	9.75621
762	9.75618
764	9.75611
766	9.75628
768	9.75696
770	9.75695
772	9.75653
774	9.75602
776	9.75572
778	9.75617
780	9.75607
782	9.7564
784	9.75569
786	9.7526
788	9.75073
790	9.74819
792	9.74686
794	9.74563
796	9.74512
798	9.74513
800	9.7449
802	9.74377
804	9.74356
806	9.74538
808	9.74795
810	9.74915
812	9.75013
814	9.75158
816	9.75283
818	9.75277
820	9.75324
822	9.75265
824	9.7525
826	9.7521
828	9.75195
830	9.75156
832	9.75112
834	9.7509
836	9.75135
838	9.75139
840	9.75141
842	9.7512
844	9.751
846	9.75174
848	9.75248
850	9.75306
852	9.7531
854	9.7522
856	9.753
858	9.75268
860	9.75207
862	9.75193
864	9.75164
866	9.75225
868	9.75282
870	9.75387
872	9.75479
874	9.75414
876	9.75354
878	9.75337
880	9.75286
882	9.75264
884	9.75318
886	9.75371
888	9.75283
890	9.75337
892	9.75372
894	9.75489
896	9.75357
898	9.75227
900	9.7522
902	9.7524
904	9.75292
906	9.753
908	9.75183
910	9.75113
912	9.7507
914	9.7511
916	9.75169
918	9.7522
920	9.75306
922	9.75202
924	9.75229
926	9.75102
928	9.75047
930	9.751
932	9.75137
934	9.75067
936	9.75091
938	9.7518
940	9.7518
942	9.75228
944	9.75131
946	9.75177
948	9.75276
950	9.75311
952	9.7528
954	9.75219
956	9.75148
958	9.75127
960	9.75075
962	9.75036
964	9.75042
966	9.75059
968	9.75031
970	9.75047
972	9.75074
974	9.75104
976	9.75094
978	9.75085
980	9.75006
982	9.74915
984	9.74933
986	9.74959
988	9.74965
990	9.74983
992	9.74937
994	9.74996
996	9.75033
998	9.75002
1000	9.74988
1002	9.74978
1004	9.74949
1006	9.74994
1008	9.75002
1010	9.75051
1012	9.75095
1014	9.75003
1016	9.74982
1018	9.74939
1020	9.74842
1022	9.748
1024	9.74748
1026	9.74572
1028	9.74303
1030	9.74221
1032	9.74099
1034	9.73953
1036	9.73833
1038	9.73858
1040	9.73882
1042	9.73792
1044	9.73701
1046	9.73877
1048	9.74141
1050	9.7434
1052	9.74457
1054	9.74514
1056	9.74519
1058	9.74557
1060	9.74501
1062	9.74568
1064	9.74583
1066	9.7457
1068	9.74589
1070	9.74552
1072	9.74575
1074	9.74657
1076	9.74646
1078	9.74629
1080	9.74596
1082	9.74555
1084	9.74628
1086	9.74725
1088	9.74798
1090	9.74796
1092	9.74707
1094	9.74686
1096	9.74571
1098	9.74752
1100	9.74703
1102	9.7466
1104	9.74666
1106	9.74648
1108	9.74717
1110	9.74808
1112	9.74742
1114	9.74654
1116	9.74683
1118	9.74636
1120	9.74641
1122	9.74661
1124	9.74636
1126	9.74624
1128	9.74642
1130	9.74738
1132	9.74773
1134	9.74767
1136	9.74777
1138	9.74705
1140	9.747
1142	9.7475
1144	9.74792
1146	9.74716
1148	9.74704
1150	9.74674
1152	9.74638
1154	9.74564
1156	9.74537
1158	9.7462
1160	9.74689
1162	9.74604
1164	9.74555
1166	9.74585
1168	9.74584
1170	9.74564
1172	9.74594
1174	9.74548
1176	9.74507
1178	9.74565
1180	9.74593
1182	9.74509
1184	9.74503
1186	9.7452
1188	9.74451
1190	9.74416
1192	9.74479
1194	9.74501
1196	9.74462
1198	9.74467
1200	9.74549
1202	9.74594
1204	9.74538
1206	9.74582
1208	9.74596
1210	9.74448
1212	9.74385
1214	9.74282
1216	9.74229
1218	9.74277
1220	9.74386
1222	9.74446
1224	9.7441
1226	9.74404
1228	9.74313
1230	9.74401
1232	9.74452
1234	9.74481
1236	9.74495
1238	9.74456
1240	9.7437
1242	9.74386
1244	9.74376
1246	9.74401
1248	9.74491
1250	9.74593
1252	9.7449
1254	9.74402
1256	9.74347
1258	9.74296
1260	9.74308
1262	9.74384
1264	9.74359
1266	9.74082
1268	9.73738
1270	9.73491
1272	9.73439
1274	9.7347
1276	9.73478
1278	9.73425
1280	9.73391
1282	9.73434
1284	9.73446
1286	9.73647
1288	9.73793
1290	9.74003
1292	9.7412
1294	9.74229
1296	9.74248
1298	9.74132
1300	9.74067
1302	9.74113
1304	9.74097
1306	9.74149
1308	9.74226
1310	9.74245
1312	9.74251
1314	9.74149
1316	9.74142
1318	9.74119
1320	9.74076
1322	9.74084
1324	9.74049
1326	9.74095
1328	9.74093
1330	9.74113
1332	9.74118
1334	9.74141
1336	9.74207
1338	9.74162
1340	9.74104
1342	9.74226
1344	9.74254
1346	9.74168
1348	9.74086
1350	9.74018
1352	9.73999
1354	9.74012
1356	9.74071
1358	9.74073
1360	9.74069
1362	9.7412
1364	9.74051
1366	9.74087
1368	9.74199
1370	9.74128
1372	9.74111
1374	9.74097
1376	9.74086
1378	9.74104
1380	9.74163
1382	9.74175
1384	9.74121
1386	9.74083
1388	9.74116
1390	9.74146
1392	9.74187
1394	9.74166
1396	9.74177
1398	9.7406
1400	9.74004
1402	9.73906
1404	9.74005
1406	9.74091
1408	9.74173
1410	9.74175
1412	9.7407
1414	9.7406
1416	9.73968
1418	9.74018
1420	9.74121
1422	9.74123
1424	9.74171
1426	9.74101
1428	9.73988
1430	9.73985
1432	9.73981
1434	9.73987
1436	9.74053
1438	9.73974
1440	9.74005
1442	9.73962
1444	9.73974
1446	9.73996
1448	9.7399
1450	9.73996
1452	9.74061
1454	9.73996
1456	9.73936
1458	9.73916
1460	9.73977
1462	9.73957
1464	9.73956
1466	9.73857
1468	9.73812
1470	9.7384
1472	9.73898
1474	9.73898
1476	9.73869
1478	9.73949
1480	9.73912
1482	9.73957
1484	9.73943
1486	9.73949
1488	9.73973
1490	9.73997
1492	9.74067
1494	9.74062
1496	9.73959
1498	9.73935
1500	9.7387
1502	9.7389
1504	9.73752
1506	9.7349
1508	9.73271
1510	9.7316
1512	9.73098
1514	9.73062
1516	9.73042
1518	9.72904
1520	9.72801
1522	9.72792
1524	9.7281
1526	9.72998
1528	9.73318
1530	9.73439
1532	9.73545
1534	9.73618
1536	9.73662
1538	9.73689
1540	9.7372
1542	9.73745
1544	9.73844
1546	9.73824
1548	9.73824
1550	9.73765
1552	9.73804
1554	9.73827
1556	9.73877
1558	9.73769
1560	9.73838
1562	9.73796
1564	9.73706
1566	9.73785
1568	9.73798
1570	9.7371
1572	9.73722
1574	9.73732
1576	9.737
1578	9.73671
1580	9.73663
1582	9.73642
1584	9.73639
1586	9.73701
1588	9.73761
1590	9.73701
1592	9.73616
1594	9.73578
1596	9.73748
1598	9.73885
1600	9.73792
1602	9.73767
1604	9.7383
1606	9.73732
1608	9.73765
1610	9.73812
1612	9.73891
1614	9.73845
1616	9.7379
1618	9.73777
1620	9.73819
1622	9.73855
1624	9.73762
1626	9.73751
1628	9.73793
1630	9.73825
1632	9.73887
1634	9.73867
1636	9.73867
1638	9.73885
1640	9.73844
1642	9.73844
1644	9.73817
