          DH  INJV           Xt           Mt          XMt          NDH
    42.66357  10.0      0.00000      0.00000      0.00000      0.00000
    38.08409  10.0      0.00000      0.00000      0.00000      0.00000
    27.32251  10.0      0.00000      0.00000      0.00000      0.00000
    14.87732  10.0      0.00000      0.00000      0.00000      0.00000
     7.52825  10.0      0.00000      0.00000      0.00000      0.00000
     4.12850  10.0      0.00000      0.00000      0.00000      0.00000
     2.64794  10.0      0.00000      0.00000      0.00000      0.00000
     1.83776  10.0      0.00000      0.00000      0.00000      0.00000
     1.43164  10.0      0.00000      0.00000      0.00000      0.00000
     0.94576  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
