time	cp
2	4.80769
4	4.80789
6	4.80758
8	4.80888
10	4.8091
12	4.80947
14	4.80973
16	4.80923
18	4.80832
20	4.80959
22	4.80964
24	4.81095
26	4.81143
28	4.81073
30	4.80924
32	4.80824
34	4.80821
36	4.80934
38	4.81003
40	4.80801
42	4.8088
44	4.8083
46	4.80946
48	4.80931
50	4.81016
52	4.81049
54	4.80923
56	4.80907
58	4.81071
60	4.8102
62	4.81017
64	4.81018
66	4.80031
68	4.75515
70	4.68222
72	4.59935
74	4.51434
76	4.43347
78	4.35899
80	4.29217
82	4.23325
84	4.18192
86	4.13488
88	4.09494
90	4.06102
92	4.03197
94	4.01739
96	4.04117
98	4.09392
100	4.16305
102	4.23554
104	4.30403
106	4.3658
108	4.42127
110	4.4721
112	4.51678
114	4.5567
116	4.5896
118	4.61811
120	4.64333
122	4.66525
124	4.68425
126	4.69897
128	4.71202
130	4.72333
132	4.73366
134	4.74205
136	4.74972
138	4.75714
140	4.76419
142	4.76925
144	4.7722
146	4.77467
148	4.77843
150	4.78247
152	4.78491
154	4.78629
156	4.78825
158	4.79081
160	4.794
162	4.79611
164	4.79692
166	4.79761
168	4.79913
170	4.79993
172	4.8016
174	4.80402
176	4.80472
178	4.80563
180	4.8064
182	4.80684
184	4.80809
186	4.80852
188	4.80823
190	4.80861
192	4.80835
194	4.80936
196	4.81104
198	4.81107
200	4.81066
202	4.81255
204	4.81149
206	4.81206
208	4.81205
210	4.81241
212	4.81272
214	4.81345
216	4.81484
218	4.81417
220	4.81332
222	4.81425
224	4.81428
226	4.81372
228	4.8147
230	4.8149
232	4.81411
234	4.81396
236	4.816
238	4.81567
240	4.81607
242	4.81772
244	4.81764
246	4.81734
248	4.81746
250	4.81627
252	4.81701
254	4.8183
256	4.81764
258	4.8178
260	4.81657
262	4.81654
264	4.81666
266	4.81697
268	4.81699
270	4.81723
272	4.81694
274	4.81607
276	4.81618
278	4.81647
280	4.81714
282	4.81676
284	4.81591
286	4.8164
288	4.81643
290	4.8171
292	4.81803
294	4.81723
296	4.81783
298	4.81727
300	4.81769
302	4.81625
304	4.81754
306	4.8169
308	4.81568
310	4.8174
312	4.81844
314	4.81855
316	4.81827
318	4.81704
320	4.81692
322	4.8171
324	4.81764
326	4.81779
328	4.81885
330	4.81904
332	4.81799
334	4.81798
336	4.81839
338	4.81916
340	4.81817
342	4.79643
344	4.73449
346	4.65224
348	4.56609
350	4.48249
352	4.40382
354	4.33202
356	4.26924
358	4.21453
360	4.16389
362	4.12295
364	4.08811
366	4.05592
368	4.02794
370	4.01319
372	4.03622
374	4.08873
376	4.15843
378	4.23041
380	4.29808
382	4.36398
384	4.42103
386	4.47051
388	4.51578
390	4.55521
392	4.58852
394	4.61937
396	4.64431
398	4.66684
400	4.68679
402	4.70104
404	4.71462
406	4.72624
408	4.73556
410	4.7462
412	4.75457
414	4.7606
416	4.76587
418	4.77126
420	4.7753
422	4.78013
424	4.78505
426	4.78809
428	4.7895
430	4.79119
432	4.79446
434	4.79729
436	4.79912
438	4.80087
440	4.80417
442	4.80511
444	4.80596
446	4.80748
448	4.80806
450	4.80803
452	4.81066
454	4.81106
456	4.8106
458	4.81153
460	4.81222
462	4.81345
464	4.81356
466	4.81557
468	4.81715
470	4.81632
472	4.81581
474	4.81567
476	4.81663
478	4.81714
480	4.81756
482	4.81944
484	4.81896
486	4.81889
488	4.81874
490	4.81885
492	4.81906
494	4.81987
496	4.81901
498	4.81961
500	4.81991
502	4.81973
504	4.818
506	4.81835
508	4.81907
510	4.8203
512	4.81961
514	4.81925
516	4.81969
518	4.82098
520	4.82148
522	4.82142
524	4.82096
526	4.82082
528	4.82061
530	4.82105
532	4.82265
534	4.82288
536	4.82187
538	4.82028
540	4.81991
542	4.8205
544	4.82106
546	4.82195
548	4.82235
550	4.82205
552	4.82246
554	4.82167
556	4.82334
558	4.82328
560	4.82218
562	4.8221
564	4.82269
566	4.82328
568	4.82367
570	4.82429
572	4.82482
574	4.82369
576	4.82475
578	4.82278
580	4.82157
582	4.82209
584	4.82271
586	4.82312
588	4.82268
590	4.82143
592	4.82247
594	4.82331
596	4.8232
598	4.8227
600	4.82279
602	4.82275
604	4.82296
606	4.82338
608	4.82475
610	4.82393
612	4.82424
614	4.82306
616	4.8216
618	4.80476
620	4.74689
622	4.66796
624	4.58254
626	4.49816
628	4.41831
630	4.34809
632	4.28326
634	4.2268
636	4.17676
638	4.13503
640	4.09933
642	4.06777
644	4.03973
646	4.02182
648	4.04067
650	4.09052
652	4.15548
654	4.22633
656	4.29756
658	4.36247
660	4.41792
662	4.46833
664	4.51411
666	4.55423
668	4.58937
670	4.61959
672	4.64735
674	4.6691
676	4.68724
678	4.70453
680	4.71804
682	4.73008
684	4.74068
686	4.75054
688	4.75679
690	4.76355
692	4.76828
694	4.77455
696	4.77866
698	4.78318
700	4.78833
702	4.7924
704	4.79599
706	4.79789
708	4.79915
710	4.80108
712	4.80296
714	4.80499
716	4.80471
718	4.80559
720	4.80759
722	4.80811
724	4.80954
726	4.81159
728	4.81235
730	4.81287
732	4.81352
734	4.81449
736	4.81587
738	4.81732
740	4.81785
742	4.81751
744	4.81666
746	4.81803
748	4.8191
750	4.81888
752	4.81941
754	4.82046
756	4.82132
758	4.8229
760	4.82234
762	4.82124
764	4.81958
766	4.81959
768	4.81993
770	4.82161
772	4.82349
774	4.82378
776	4.82287
778	4.82141
780	4.82236
782	4.82235
784	4.82165
786	4.82297
788	4.82221
790	4.82111
792	4.82154
794	4.82125
796	4.82177
798	4.82186
800	4.8227
802	4.82316
804	4.82241
806	4.82208
808	4.82156
810	4.82081
812	4.82021
814	4.81936
816	4.82018
818	4.82139
820	4.821
822	4.82251
824	4.82389
826	4.82294
828	4.82191
830	4.82232
832	4.82348
834	4.82348
836	4.82326
838	4.82364
840	4.82325
842	4.82402
844	4.82238
846	4.8226
848	4.82462
850	4.82376
852	4.82266
854	4.82291
856	4.82327
858	4.82294
860	4.82276
862	4.8234
864	4.8224
866	4.8222
868	4.8215
870	4.82029
872	4.82041
874	4.82162
876	4.8228
878	4.82327
880	4.82507
882	4.82446
884	4.82316
886	4.82179
888	4.82265
890	4.82421
892	4.82504
894	4.80747
896	4.7535
898	4.67566
900	4.59091
902	4.50564
904	4.4285
906	4.35818
908	4.29358
910	4.23791
912	4.18855
914	4.14454
916	4.10731
918	4.07652
920	4.04703
922	4.02625
924	4.04204
926	4.08862
928	4.15148
930	4.22097
932	4.28985
934	4.35338
936	4.41046
938	4.4614
940	4.50753
942	4.54885
944	4.58341
946	4.61446
948	4.64156
950	4.66562
952	4.68456
954	4.70134
956	4.71639
958	4.72995
960	4.74029
962	4.74962
964	4.75724
966	4.76414
968	4.77061
970	4.77484
972	4.77806
974	4.78134
976	4.78622
978	4.78981
980	4.7934
982	4.79592
984	4.7973
986	4.79951
988	4.80084
990	4.80201
992	4.80431
994	4.80611
996	4.80866
998	4.81058
1000	4.81107
1002	4.81065
1004	4.81087
1006	4.81212
1008	4.81149
1010	4.8133
1012	4.81472
1014	4.81657
1016	4.8163
1018	4.81687
1020	4.8176
1022	4.81752
1024	4.8191
1026	4.81964
1028	4.8189
1030	4.81912
1032	4.81839
1034	4.81785
1036	4.81759
1038	4.81818
1040	4.81873
1042	4.81734
1044	4.81855
1046	4.81937
1048	4.82088
1050	4.82218
1052	4.82252
1054	4.82283
1056	4.82391
1058	4.82407
1060	4.82381
1062	4.82438
1064	4.82346
1066	4.82334
1068	4.82269
1070	4.82152
1072	4.82171
1074	4.82111
1076	4.82067
1078	4.81989
1080	4.81964
1082	4.82077
1084	4.81992
1086	4.82096
1088	4.8216
1090	4.82256
1092	4.82151
1094	4.81952
1096	4.81979
1098	4.82168
1100	4.82277
1102	4.82098
1104	4.8216
1106	4.82198
1108	4.82286
1110	4.82225
1112	4.82196
1114	4.82126
1116	4.82108
1118	4.82143
1120	4.82264
1122	4.82181
1124	4.8219
1126	4.82191
1128	4.82138
1130	4.82152
1132	4.82172
1134	4.82159
1136	4.82127
1138	4.82208
1140	4.82251
1142	4.8222
1144	4.82216
1146	4.82016
1148	4.8203
1150	4.82124
1152	4.82166
1154	4.82251
1156	4.82174
1158	4.82181
1160	4.82122
1162	4.82199
1164	4.82309
1166	4.82334
1168	4.82299
1170	4.80936
1172	4.75906
1174	4.68587
1176	4.60416
1178	4.52122
1180	4.44351
1182	4.37156
1184	4.3073
1186	4.25106
1188	4.20176
1190	4.15651
1192	4.11914
1194	4.08682
1196	4.0611
1198	4.04073
1200	4.04791
1202	4.08624
1204	4.14369
1206	4.20963
1208	4.2757
1210	4.33959
1212	4.39897
1214	4.45161
1216	4.49838
1218	4.53948
1220	4.57727
1222	4.6084
1224	4.63435
1226	4.65872
1228	4.67965
1230	4.69448
1232	4.70852
1234	4.72033
1236	4.73347
1238	4.744
1240	4.75268
1242	4.76043
1244	4.76571
1246	4.77203
1248	4.77646
1250	4.77969
1252	4.78295
1254	4.78641
1256	4.78968
1258	4.79134
1260	4.79415
1262	4.7968
1264	4.79723
1266	4.80031
1268	4.80406
1270	4.80548
1272	4.80509
1274	4.80602
1276	4.80753
1278	4.80916
1280	4.80846
1282	4.80948
1284	4.81149
1286	4.81311
1288	4.81568
1290	4.81602
1292	4.81512
1294	4.8156
1296	4.81748
1298	4.81652
1300	4.81697
1302	4.81957
1304	4.81836
1306	4.8196
1308	4.81904
1310	4.81923
1312	4.81876
1314	4.8184
1316	4.81684
1318	4.81677
1320	4.8171
1322	4.81626
1324	4.81624
1326	4.81593
1328	4.81645
1330	4.81675
1332	4.81775
1334	4.81795
1336	4.81834
1338	4.81754
1340	4.81792
1342	4.81727
1344	4.81804
1346	4.81949
1348	4.81865
1350	4.81772
1352	4.81722
1354	4.81809
1356	4.819
1358	4.81822
1360	4.81886
1362	4.81945
1364	4.81909
1366	4.81991
1368	4.82016
1370	4.82013
1372	4.81944
1374	4.81877
1376	4.81967
1378	4.81965
1380	4.81995
1382	4.81866
1384	4.81801
1386	4.81842
1388	4.81794
1390	4.81954
1392	4.82074
1394	4.81954
