DH	INJV	Xt	Mt	XMt	NDH
-27.82122	12	0	0.1	0.08403	-2318.43475
-28.51801	12	0.00833	0.09917	0.16876	-2376.50095
-28.36526	12	0.0166	0.09834	0.2542	-2363.77161
-28.03191	12	0.02479	0.09752	0.34033	-2335.99232
-28.3478	12	0.03291	0.09671	0.42716	-2362.3164
-28.181	12	0.04097	0.0959	0.5147	-2348.41663
-27.93363	12	0.04895	0.0951	0.60293	-2327.8028
-27.12687	12	0.05686	0.09431	0.69186	-2260.57286
-23.68859	12	0.0647	0.09352	0.7815	-1974.04934
-13.66137	12	0.07248	0.09274	0.87183	-1138.44773
-4.92197	12	0.08018	0.09197	0.96287	-410.16443
-2.54298	12	0.08781	0.0912	1.0546	-211.91474
-1.78374	12	0.09538	0.09044	1.14704	-148.6453
-1.32404	12	0.10287	0.08968	1.24017	-110.33637
-1.08291	12	0.11029	0.08893	1.33401	-90.24286
-0.88705	12	0.11764	0.08819	1.42855	-73.92123
-0.92327	12	0.12493	0.08745	1.52378	-76.93931
-0.76103	12	0.13214	0.08672	1.61972	-63.41938
-0.86055	12	0.13928	0.08599	1.71636	-71.71285
-0.82366	12	0.14636	0.08527	1.81369	-68.63819
-0.86656	12	0.15336	0.08456	1.91173	-72.21323
-0.85243	12	0.16029	0.08385	2.01047	-71.03596
-1.11395	12	0.16715	0.08314	2.10991	-92.82917
	--	0.17395	0.08244	--	
