time	cp
2	4.58494
4	4.58472
6	4.58472
8	4.58425
10	4.58444
12	4.58629
14	4.58754
16	4.58741
18	4.58696
20	4.58708
22	4.58788
24	4.58823
26	4.5879
28	4.58773
30	4.58634
32	4.58536
34	4.58681
36	4.58721
38	4.58857
40	4.58967
42	4.58957
44	4.59051
46	4.59098
48	4.5906
50	4.59058
52	4.5918
54	4.59301
56	4.59391
58	4.59387
60	4.59218
62	4.5913
64	4.58978
66	4.58688
68	4.56615
70	4.53479
72	4.51693
74	4.5135
76	4.51655
78	4.52199
80	4.52821
82	4.53529
84	4.54184
86	4.54661
88	4.55245
90	4.5589
92	4.56444
94	4.56711
96	4.56814
98	4.5705
100	4.57425
102	4.57646
104	4.5785
106	4.57946
108	4.58186
110	4.58292
112	4.58366
114	4.58474
116	4.58692
118	4.58777
120	4.58939
122	4.59055
124	4.59259
126	4.59377
128	4.59504
130	4.59444
132	4.59357
134	4.59357
136	4.59439
138	4.59526
140	4.59589
142	4.59549
144	4.59546
146	4.59605
148	4.59691
150	4.59697
152	4.59644
154	4.59591
156	4.59505
158	4.59445
160	4.59552
162	4.59686
164	4.59753
166	4.59683
168	4.59693
170	4.59727
172	4.59798
174	4.59855
176	4.59971
178	4.59949
180	4.5995
182	4.59968
184	4.59925
186	4.59926
188	4.59995
190	4.60004
192	4.60087
194	4.60138
196	4.60118
198	4.60096
200	4.60057
202	4.60081
204	4.60034
206	4.5998
208	4.59945
210	4.60102
212	4.60212
214	4.60228
216	4.60205
218	4.60264
220	4.60148
222	4.60323
224	4.60435
226	4.60351
228	4.60193
230	4.60192
232	4.60233
234	4.60243
236	4.60184
238	4.6032
240	4.60431
242	4.60312
244	4.60372
246	4.60574
248	4.60531
250	4.60481
252	4.60575
254	4.60605
256	4.60599
258	4.60583
260	4.60522
262	4.60412
264	4.60456
266	4.60604
268	4.60732
270	4.60766
272	4.6076
274	4.60746
276	4.60586
278	4.6058
280	4.60647
282	4.60613
284	4.60583
286	4.60554
288	4.6053
290	4.60504
292	4.60539
294	4.60591
296	4.60657
298	4.60863
300	4.60893
302	4.60879
304	4.60933
306	4.60948
308	4.60945
310	4.6085
312	4.60795
314	4.60799
316	4.60786
318	4.60758
320	4.60731
322	4.60886
324	4.61112
326	4.61087
328	4.61095
330	4.61145
332	4.61083
334	4.61013
336	4.61017
338	4.60987
340	4.6105
342	4.61102
344	4.61008
346	4.60903
348	4.60943
350	4.61079
352	4.61172
354	4.61302
356	4.61374
358	4.6133
360	4.61165
362	4.60265
364	4.5749
366	4.53566
368	4.49268
370	4.45113
372	4.41007
374	4.3765
376	4.34822
378	4.31876
380	4.29572
382	4.27599
384	4.25986
386	4.24367
388	4.23163
390	4.22557
392	4.23771
394	4.26619
396	4.30146
398	4.33734
400	4.37083
402	4.40209
404	4.4296
406	4.45415
408	4.47537
410	4.49242
412	4.50885
414	4.52303
416	4.53514
418	4.54554
420	4.55491
422	4.56152
424	4.56702
426	4.57147
428	4.57492
430	4.58022
432	4.58303
434	4.5865
436	4.58968
438	4.59295
440	4.59632
442	4.59782
444	4.59818
446	4.60102
448	4.60389
450	4.60507
452	4.60474
454	4.60641
456	4.60749
458	4.60794
460	4.60854
462	4.60883
464	4.61013
466	4.61184
468	4.61291
470	4.61308
472	4.61145
474	4.61005
476	4.61128
478	4.61354
480	4.61536
482	4.61694
484	4.61761
486	4.61829
488	4.61893
490	4.61857
492	4.6172
494	4.61747
496	4.6175
498	4.61687
500	4.6175
502	4.61815
504	4.61821
506	4.61787
508	4.61856
510	4.61945
512	4.61916
514	4.61858
516	4.61842
518	4.61931
520	4.62011
522	4.62093
524	4.62167
526	4.62119
528	4.62206
530	4.62215
532	4.62061
534	4.6209
536	4.62165
538	4.62274
540	4.62313
542	4.62332
544	4.62249
546	4.62097
548	4.62104
550	4.62112
552	4.62223
554	4.6238
556	4.62518
558	4.62504
560	4.62351
562	4.62273
564	4.62134
566	4.62266
568	4.62378
570	4.62398
572	4.62392
574	4.62405
576	4.62473
578	4.62603
580	4.62697
582	4.6269
584	4.62713
586	4.62663
588	4.62649
590	4.62604
592	4.62515
594	4.62437
596	4.62529
598	4.62567
600	4.62611
602	4.6277
604	4.62856
606	4.62783
608	4.62661
610	4.62575
612	4.6264
614	4.62631
616	4.62697
618	4.62654
620	4.6278
622	4.62883
624	4.62838
626	4.62905
628	4.62919
630	4.62893
632	4.62855
634	4.62987
636	4.62873
638	4.61935
640	4.59219
642	4.55262
644	4.50893
646	4.4668
648	4.42948
650	4.39548
652	4.36481
654	4.3379
656	4.31437
658	4.29352
660	4.2754
662	4.26231
664	4.25055
