DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-1.55467	2	0	0.05	0.01396	-1554.66747	-2307.03936	--
-13.04473	12	6.96864E-4	0.04993	0.09811	-2174.12098	-2305.01191	140.82049
-13.56063	12	0.00486	0.04951	0.18295	-2260.10499	-2300.73738	5.68931
-13.5318	12	0.00898	0.0491	0.2685	-2255.30032	-2294.99018	-14.90751
-13.43809	12	0.01307	0.04869	0.35475	-2239.68086	-2287.14835	47.46749
-13.71709	12	0.01713	0.04829	0.4417	-2286.18173	-2276.17926	-27.22648
-13.28361	12	0.02115	0.04788	0.52935	-2213.93473	-2260.27675	53.00836
-13.30091	12	0.02514	0.04748	0.6177	-2216.81781	-2236.08144	19.26363
-13.50991	12	0.02909	0.04709	0.70676	-2251.65247	-2196.88852	-54.76395
-13.14515	12	0.033	0.0467	0.79651	-2190.85903	-2128.29384	-78.0298
-12.49834	12	0.03688	0.04631	0.88696	-2083.05676	-1997.85266	-85.2041
-11.0419	12	0.04073	0.04592	0.97811	-1840.31632	-1739.25189	-105.86695
-7.502	12	0.04454	0.04554	1.06996	-1250.33352	-1289.88519	115.4434
-4.36109	12	0.04832	0.04516	1.16251	-726.84766	-774.81362	42.88954
-2.52009	12	0.05206	0.04478	1.25577	-420.01489	-420.14476	7.35493
-1.76095	12	0.05576	0.0444	1.34972	-293.49126	-236.70241	-56.78885
-1.5324	12	0.05943	0.04403	1.44437	-255.39977	-144.75656	-83.78219
-1.2255	12	0.06307	0.04366	1.53972	-204.25062	-95.37173	-97.86988
-1.03065	12	0.06667	0.0433	1.63578	-171.77546	-66.59513	-90.294
-1.08333	12	0.07023	0.04294	1.73253	-180.55474	-48.59416	-139.89079
-0.92952	12	0.07376	0.04258	1.82998	-154.9205	-36.65958	-113.522
-0.71526	12	0.07726	0.04222	1.92814	-119.21042	-28.36251	-66.14447
-0.68629	12	0.08072	0.04186	2.02699	-114.38216	-22.36385	-106.99341
-0.75538	12	0.08415	0.04151	2.12655	-125.89725	-17.88194	-97.4227
	--	0.08754	0.04116	--			
