time	cp
2	4.73275
4	4.73201
6	4.7303
8	4.72918
10	4.72966
12	4.73029
14	4.72949
16	4.72998
18	4.72874
20	4.72834
22	4.72812
24	4.72778
26	4.72761
28	4.72671
30	4.7265
32	4.72589
34	4.72588
36	4.72706
38	4.7267
40	4.72684
42	4.72656
44	4.72588
46	4.72548
48	4.72544
50	4.72591
52	4.72592
54	4.7253
56	4.72518
58	4.72565
60	4.72479
62	4.72492
64	4.7244
66	4.72336
68	4.71084
70	4.68344
72	4.66295
74	4.65807
76	4.65921
78	4.66361
80	4.66938
82	4.6741
84	4.67935
86	4.68315
88	4.68757
90	4.69253
92	4.69677
94	4.70069
96	4.70339
98	4.70554
100	4.70568
102	4.70646
104	4.70879
106	4.70964
108	4.71018
110	4.71219
112	4.71389
114	4.71479
116	4.71423
118	4.71442
120	4.71538
122	4.71572
124	4.71584
126	4.71691
128	4.71581
130	4.71522
132	4.71617
134	4.71796
136	4.71627
138	4.71646
140	4.7183
142	4.71878
144	4.71787
146	4.71829
148	4.7179
150	4.71851
152	4.71822
154	4.71831
156	4.71781
158	4.71687
160	4.71651
162	4.71809
164	4.71787
166	4.71738
168	4.71735
170	4.71818
172	4.7183
174	4.71735
176	4.71749
178	4.7168
180	4.71735
182	4.71671
184	4.71748
186	4.71654
188	4.71599
190	4.71645
192	4.71777
194	4.7179
196	4.71723
198	4.71551
200	4.71583
202	4.71486
204	4.71372
206	4.71297
208	4.71395
210	4.71475
212	4.71493
214	4.7153
216	4.71523
218	4.71529
220	4.71447
222	4.71532
224	4.71584
226	4.71513
228	4.71364
230	4.71355
232	4.71422
234	4.71347
236	4.71368
238	4.71539
240	4.71641
242	4.71614
244	4.7138
246	4.71213
248	4.71376
250	4.71443
252	4.71228
254	4.71239
256	4.71162
258	4.71096
260	4.71163
262	4.71094
264	4.71116
266	4.71125
268	4.71171
270	4.71274
272	4.71355
274	4.71195
276	4.71076
278	4.71073
280	4.7112
282	4.71051
284	4.70989
286	4.71094
288	4.71085
290	4.71148
292	4.71194
294	4.71182
296	4.71122
298	4.71095
300	4.71141
302	4.71191
304	4.7109
306	4.70892
308	4.70975
310	4.71012
312	4.71081
314	4.71003
316	4.70984
318	4.70952
320	4.70918
322	4.70866
324	4.70944
326	4.70993
328	4.71025
330	4.71106
332	4.71036
334	4.70974
336	4.7095
338	4.70794
340	4.70673
342	4.70777
344	4.70825
346	4.70749
348	4.70728
350	4.70729
352	4.70827
354	4.70783
356	4.70779
358	4.70869
360	4.70921
362	4.70485
364	4.68365
366	4.64606
368	4.60374
370	4.56229
372	4.52322
374	4.48928
376	4.45913
378	4.43154
380	4.40891
382	4.38695
384	4.36813
386	4.3525
388	4.3393
390	4.32976
392	4.33651
394	4.36215
396	4.39515
398	4.42911
400	4.46209
402	4.49181
404	4.51795
406	4.54158
408	4.56239
410	4.57976
412	4.59607
414	4.60943
416	4.62114
418	4.63167
420	4.63978
422	4.64691
424	4.65348
426	4.65858
428	4.66483
430	4.67005
432	4.67428
434	4.6774
436	4.67934
438	4.68082
440	4.68394
442	4.68698
444	4.68878
446	4.69032
448	4.69097
450	4.69176
452	4.6928
454	4.69331
456	4.69362
458	4.69532
460	4.69719
462	4.69589
464	4.69465
466	4.69571
468	4.69696
470	4.69656
472	4.69675
474	4.69745
476	4.69746
478	4.69685
480	4.6986
482	4.69937
484	4.69778
486	4.69768
488	4.69886
490	4.69987
492	4.70086
494	4.70001
496	4.70105
498	4.70119
500	4.70029
502	4.69919
504	4.69939
506	4.69877
508	4.69883
510	4.69912
512	4.69991
514	4.70125
516	4.70122
518	4.70148
520	4.70124
522	4.70129
524	4.70206
526	4.7026
528	4.70204
530	4.70167
532	4.70129
534	4.70026
536	4.70042
538	4.70113
540	4.70102
542	4.7003
544	4.69963
546	4.69971
548	4.6991
550	4.69876
552	4.69978
554	4.69986
556	4.69953
558	4.69907
560	4.69887
562	4.69818
564	4.69795
566	4.69889
568	4.69984
570	4.69989
572	4.70165
574	4.70125
576	4.70126
578	4.70194
580	4.70173
582	4.70193
584	4.70195
586	4.70064
588	4.70025
590	4.70041
592	4.70038
594	4.70007
596	4.70062
598	4.70103
600	4.70171
602	4.7002
604	4.69992
606	4.70016
608	4.69998
610	4.69903
612	4.69911
614	4.69948
616	4.6989
618	4.69948
620	4.70185
622	4.70174
624	4.70056
626	4.70118
628	4.70168
630	4.70152
632	4.70108
634	4.69958
636	4.70014
638	4.69796
640	4.68668
642	4.65496
644	4.61623
646	4.57596
648	4.53569
650	4.50011
652	4.46687
654	4.43813
656	4.41258
658	4.39037
660	4.36843
662	4.35169
664	4.3374
666	4.32548
668	4.32225
670	4.33963
672	4.36839
674	4.40242
676	4.43522
678	4.46686
680	4.49414
682	4.51919
684	4.54229
686	4.56246
688	4.57933
690	4.59351
692	4.60674
694	4.61879
696	4.62951
698	4.63804
700	4.64464
702	4.65113
704	4.65694
706	4.66158
708	4.66509
710	4.66735
712	4.67107
714	4.67425
716	4.67731
718	4.67864
720	4.67971
722	4.68096
724	4.68182
726	4.68264
728	4.68422
730	4.68569
732	4.68729
734	4.68731
736	4.68883
738	4.6904
740	4.69121
742	4.69124
744	4.69172
746	4.69327
748	4.693
750	4.69238
752	4.69252
754	4.69386
756	4.69453
758	4.69405
760	4.69381
762	4.69398
764	4.69414
766	4.69446
768	4.69482
770	4.69562
772	4.69595
774	4.69783
776	4.69747
778	4.69685
780	4.69683
782	4.69649
784	4.69654
786	4.69602
788	4.6954
790	4.69568
792	4.6955
794	4.69587
796	4.6965
798	4.69678
800	4.69621
802	4.69604
804	4.69638
806	4.69671
808	4.69714
810	4.69763
812	4.69784
814	4.69798
816	4.69798
818	4.69826
820	4.69845
822	4.69743
824	4.69694
826	4.69681
828	4.69642
830	4.69664
832	4.69605
834	4.69627
836	4.69663
838	4.69641
840	4.69642
842	4.69587
844	4.69571
846	4.69702
848	4.69809
850	4.6981
852	4.69761
854	4.69772
856	4.69793
858	4.69829
860	4.69829
862	4.69851
864	4.69844
866	4.69825
868	4.69869
870	4.69857
872	4.69818
874	4.69789
876	4.69776
878	4.69716
880	4.69597
882	4.69616
884	4.69526
886	4.69531
888	4.69561
890	4.69625
892	4.69665
894	4.69682
896	4.69658
898	4.69696
900	4.69666
902	4.69637
904	4.69728
906	4.69892
908	4.69792
910	4.69684
912	4.6974
914	4.69549
916	4.68091
918	4.64911
920	4.61143
922	4.57022
924	4.53137
926	4.49329
928	4.46056
930	4.4322
932	4.40658
934	4.38658
936	4.36872
938	4.35148
940	4.33593
942	4.32347
944	4.32026
946	4.33658
948	4.36724
950	4.40158
952	4.43577
954	4.46723
956	4.49541
958	4.52119
960	4.54235
962	4.56288
964	4.58074
966	4.59565
968	4.60792
970	4.61837
972	4.62701
974	4.63497
976	4.64308
978	4.64835
980	4.65371
982	4.66019
984	4.66298
986	4.6662
988	4.66972
990	4.67263
992	4.67577
994	4.67911
996	4.67976
998	4.68122
1000	4.68316
1002	4.68499
1004	4.68581
1006	4.686
1008	4.68643
1010	4.68806
1012	4.68876
1014	4.689
1016	4.69008
1018	4.68944
1020	4.689
1022	4.69
1024	4.69246
1026	4.69219
1028	4.69252
1030	4.69176
1032	4.69089
1034	4.69176
1036	4.69223
1038	4.69394
1040	4.69433
1042	4.69429
1044	4.69365
1046	4.69369
1048	4.69406
1050	4.69393
1052	4.69517
1054	4.6963
1056	4.69678
1058	4.69563
1060	4.69644
1062	4.69652
1064	4.69488
1066	4.69552
1068	4.6966
1070	4.6963
1072	4.6956
1074	4.69569
1076	4.6956
1078	4.69557
1080	4.69556
1082	4.69588
1084	4.6967
1086	4.69708
1088	4.69691
1090	4.69799
1092	4.69835
1094	4.69756
1096	4.69592
