time	cp
2	4.74567
4	4.74491
6	4.74571
8	4.74562
10	4.74649
12	4.74716
14	4.74796
16	4.74692
18	4.74582
20	4.74508
22	4.74486
24	4.7441
26	4.7436
28	4.74337
30	4.74425
32	4.744
34	4.74457
36	4.74333
38	4.74228
40	4.74196
42	4.74325
44	4.7432
46	4.74278
48	4.74328
50	4.74306
52	4.74188
54	4.74232
56	4.74279
58	4.74352
60	4.74401
62	4.74414
64	4.74225
66	4.74134
68	4.73045
70	4.7024
72	4.67994
74	4.6719
76	4.67116
78	4.67494
80	4.68246
82	4.6882
84	4.69391
86	4.6995
88	4.70418
90	4.70734
92	4.71113
94	4.71566
96	4.71819
98	4.72048
100	4.72333
102	4.72567
104	4.72691
106	4.72786
108	4.7296
110	4.73028
112	4.73025
114	4.73163
116	4.73206
118	4.73347
120	4.73377
122	4.73395
124	4.73458
126	4.73477
128	4.73482
130	4.73433
132	4.73471
134	4.734
136	4.73435
138	4.73361
140	4.73461
142	4.73615
144	4.73562
146	4.73647
148	4.73592
150	4.73528
152	4.73532
154	4.73608
156	4.73747
158	4.73659
160	4.73677
162	4.738
164	4.73834
166	4.73752
168	4.73675
170	4.73619
172	4.73564
174	4.73621
176	4.73651
178	4.73682
180	4.73589
182	4.7356
184	4.73602
186	4.73742
188	4.73636
190	4.73545
192	4.73497
194	4.73492
196	4.73545
198	4.73518
200	4.73455
202	4.73417
204	4.73421
206	4.7346
208	4.73475
210	4.73458
212	4.73352
214	4.73378
216	4.73491
218	4.73606
220	4.73609
222	4.73537
224	4.73442
226	4.73437
228	4.73439
230	4.73414
232	4.73473
234	4.73465
236	4.73479
238	4.73504
240	4.73494
242	4.73337
244	4.73409
246	4.73457
248	4.73426
250	4.73433
252	4.73282
254	4.73258
256	4.73204
258	4.7324
260	4.73194
262	4.73186
264	4.7326
266	4.7332
268	4.73344
270	4.73414
272	4.73343
274	4.73392
276	4.73183
278	4.7303
280	4.73175
282	4.73201
284	4.73233
286	4.73276
288	4.73292
290	4.73318
292	4.73353
294	4.73386
296	4.73317
298	4.73237
300	4.73141
302	4.73135
304	4.73125
306	4.7316
308	4.73163
310	4.73096
312	4.73216
314	4.73261
316	4.7328
318	4.73321
320	4.73224
322	4.73203
324	4.73127
326	4.73129
328	4.73164
330	4.73223
332	4.73249
334	4.73197
336	4.73101
338	4.73145
340	4.73213
342	4.73077
344	4.73066
346	4.73039
348	4.73034
350	4.72907
352	4.72875
354	4.72902
356	4.72867
358	4.73003
360	4.73234
362	4.72929
364	4.70995
366	4.67479
368	4.63272
370	4.58957
372	4.54918
374	4.51385
376	4.48315
378	4.45533
380	4.42907
