DH	INJV	Xt	Mt	XMt	NDH
-199.46991	12	0	0.1064	0.87112	-1507.02561
-160.81561	12	0.09192	0.10551	1.7495	-1214.98651
-135.03666	12	0.18306	0.10463	2.63515	-1020.2226
-117.83841	12	0.27343	0.10376	3.52805	-890.28715
-100.43686	12	0.36303	0.1029	4.42821	-758.81579
-88.14579	12	0.45185	0.10204	5.33563	-665.95491
-77.38856	12	0.5399	0.10119	6.25031	-584.68237
-65.50302	12	0.62719	0.10034	7.17224	-494.88529
-58.79337	12	0.71369	0.09951	8.10144	-444.19286
-52.39746	12	0.79943	0.09868	9.0379	-395.87079
-42.85993	12	0.88439	0.09785	9.98161	-323.8133
-35.21137	12	0.96858	0.09704	10.93259	-266.02728
-30.7791	12	1.052	0.09623	11.89082	-232.54083
-22.49581	12	1.13465	0.09542	12.85632	-169.95926
-26.18856	12	1.21652	0.09462	13.82907	-197.85858
-20.07425	12	1.29762	0.09383	14.80909	-151.66404
-17.45583	12	1.37795	0.09305	15.79636	-131.8815
-11.3801	12	1.45751	0.09227	16.79089	-85.97841
-18.35299	12	1.53629	0.0915	17.79268	-138.65965
-21.74383	12	1.61431	0.09073	18.80173	-164.27794
	--	1.69155	0.08997	--	
