DH	INJV	Xt	Mt	XMt	NDH
17.46408	12	0	0.01185	7.82173	131.94379
22.92634	12	0.09192	0.01175	15.70863	173.21201
23.51418	12	0.18306	0.01165	23.66072	177.65322
25.60495	12	0.27343	0.01156	31.67799	193.44927
25.08448	12	0.36303	0.01146	39.76044	189.51711
26.10893	12	0.45185	0.01136	47.90807	197.25694
26.26255	12	0.5399	0.01127	56.12088	198.41755
26.56577	12	0.62719	0.01118	64.39888	200.70844
26.88216	12	0.71369	0.01108	72.74205	203.09882
26.14031	12	0.79943	0.01099	81.15041	197.49403
26.4021	12	0.88439	0.0109	89.62394	199.47187
26.31598	12	0.96858	0.01081	98.16266	198.82127
26.24901	12	1.052	0.01072	106.76656	198.31531
25.75452	12	1.13465	0.01063	115.43564	194.57933
26.01189	12	1.21652	0.01054	124.1699	196.52382
26.16088	12	1.29762	0.01045	132.96934	197.64947
25.59845	12	1.37795	0.01036	141.83396	193.40017
24.51541	12	1.45751	0.01028	150.76377	185.21769
25.04592	12	1.53629	0.01019	159.75875	189.22575
23.89792	12	1.61431	0.0101	168.81892	180.55242
	--	1.69155	0.01002	--	
