DH	INJV	Xt	Mt	XMt	NDH
-624.91125	12	0	20.685	7.19057E-5	-294214.33701
-484.2841	12	0.00147	20.51263	1.44411E-4	-228005.69693
-409.05668	12	0.00294	20.34168	2.17515E-4	-192587.89165
-346.34247	12	0.00439	20.17215	2.91218E-4	-163061.42682
-295.25269	12	0.00583	20.00401	3.65521E-4	-139007.85946
-258.07344	12	0.00725	19.83725	4.40422E-4	-121503.50489
-228.81677	12	0.00866	19.67186	5.15923E-4	-107729.17568
-205.2248	12	0.01006	19.5078	5.92023E-4	-96621.84563
-182.96146	12	0.01145	19.34508	6.68723E-4	-86140.04571
-163.01372	12	0.01283	19.18367	7.46021E-4	-76748.45432
-148.46278	12	0.01419	19.02355	8.23919E-4	-69897.73201
-136.41499	12	0.01554	18.86472	9.02416E-4	-64225.51507
-121.61027	12	0.01688	18.70715	9.81512E-4	-57255.3061
-106.92495	12	0.01821	18.55083	0.00106	-50341.31153
-90.23964	12	0.01952	18.39575	0.00114	-42485.70806
-78.87279	12	0.02082	18.24189	0.00122	-37134.08328
-78.51719	12	0.02211	18.08924	0.0013	-36966.6615
-66.16885	12	0.02339	17.93777	0.00139	-31152.9406
-58.24683	12	0.02465	17.78749	0.00147	-27423.17639
-52.56723	12	0.02591	17.63837	0.00155	-24749.16901
	--	0.02714	17.49041	--	
