time	cp
2	0.09099
4	0.08811
6	0.08538
8	0.08293
10	0.08159
12	0.07918
14	0.07568
16	0.07194
18	0.06985
20	0.06822
22	0.06605
24	0.0638
26	0.06093
28	0.05797
30	0.05424
32	0.05033
34	0.04666
36	0.04362
38	0.04154
40	0.03886
42	0.03663
44	0.03555
46	0.03354
48	0.03131
50	0.02813
52	0.02452
54	0.02276
56	0.02072
58	0.01887
60	0.01433
62	0.01166
64	0.00891
66	0.00617
68	0.00477
70	0.00278
72	0.00185
74	0.0028
76	0.00211
78	0.00106
80	0.0025
82	0.00295
84	0.0021
86	0.00139
88	5.95615E-4
90	9.86534E-4
92	-1.44547E-4
94	5.07372E-4
96	0.00166
98	1.59209E-4
100	3.12128E-4
102	5.04047E-4
104	0.00149
106	0.00234
108	0.00223
110	-5.52779E-5
112	-1.08359E-4
114	-1.6144E-4
116	0.00117
118	0.00218
120	8.43316E-4
122	-9.37651E-5
124	-0.00101
126	-0.00815
128	-0.02425
130	-0.04454
132	-0.06691
134	-0.08835
136	-0.1061
138	-0.12278
140	-0.13935
142	-0.1531
144	-0.16514
146	-0.17386
148	-0.18234
150	-0.18968
152	-0.19577
154	-0.1956
156	-0.18831
158	-0.17803
160	-0.16692
162	-0.15582
164	-0.14589
166	-0.13583
168	-0.12719
170	-0.1199
172	-0.11255
174	-0.10476
176	-0.09906
178	-0.09399
180	-0.08915
182	-0.08358
184	-0.08002
186	-0.07698
188	-0.07343
190	-0.07122
192	-0.06841
194	-0.06701
196	-0.06537
198	-0.06311
200	-0.06234
202	-0.0601
204	-0.05798
206	-0.05544
208	-0.05395
210	-0.05217
212	-0.05019
214	-0.04875
216	-0.04766
218	-0.04787
220	-0.04772
222	-0.04627
224	-0.04349
226	-0.04186
228	-0.04047
230	-0.03879
232	-0.03982
234	-0.04004
236	-0.03868
238	-0.03702
240	-0.03689
242	-0.0363
244	-0.03487
246	-0.03376
248	-0.03294
250	-0.0334
252	-0.03381
254	-0.03169
256	-0.03085
258	-0.03104
260	-0.02957
262	-0.0282
264	-0.02859
266	-0.02922
268	-0.02833
270	-0.02764
272	-0.02701
274	-0.02681
276	-0.02541
278	-0.02467
280	-0.02394
282	-0.02386
284	-0.02386
286	-0.02351
288	-0.02303
290	-0.0213
292	-0.02114
294	-0.02157
296	-0.02133
298	-0.02074
300	-0.0206
302	-0.02151
304	-0.02089
306	-0.01991
308	-0.01852
310	-0.01828
312	-0.01906
314	-0.01929
316	-0.01802
318	-0.01697
320	-0.01679
322	-0.01735
324	-0.01689
326	-0.01581
328	-0.01642
330	-0.01749
332	-0.01807
334	-0.01903
336	-0.01861
338	-0.01877
340	-0.01838
342	-0.01729
344	-0.01648
346	-0.01468
348	-0.01403
350	-0.01321
352	-0.01351
354	-0.01333
356	-0.01329
358	-0.01363
360	-0.01311
362	-0.01287
364	-0.01232
366	-0.01239
368	-0.01173
370	-0.01222
372	-0.01253
374	-0.01306
376	-0.01322
