time	cp
2	4.54624
4	4.54744
6	4.54614
8	4.54635
10	4.54795
12	4.54788
14	4.54804
16	4.5486
18	4.54834
20	4.54801
22	4.5491
24	4.54866
26	4.54943
28	4.55051
30	4.55025
32	4.54981
34	4.55035
36	4.55169
38	4.55212
40	4.55178
42	4.552
44	4.55191
46	4.55158
48	4.55311
50	4.55395
52	4.55287
54	4.55217
56	4.5521
58	4.55256
60	4.55276
62	4.5528
64	4.55256
66	4.55186
68	4.55237
70	4.55333
72	4.55298
74	4.55316
76	4.55374
78	4.55461
80	4.55403
82	4.55399
84	4.55436
86	4.55392
88	4.55337
90	4.5538
92	4.55528
94	4.55575
96	4.55543
98	4.5552
100	4.55598
102	4.55578
104	4.55591
106	4.55611
108	4.55676
110	4.55696
112	4.55703
114	4.55769
116	4.5596
118	4.55901
120	4.55799
122	4.55764
124	4.55543
126	4.55157
128	4.54587
130	4.53561
132	4.5208
134	4.50699
136	4.50078
138	4.50066
140	4.50314
142	4.50788
144	4.5132
146	4.51841
148	4.52247
150	4.52664
152	4.53092
154	4.53536
156	4.53764
158	4.54007
160	4.54317
162	4.54655
164	4.5488
166	4.55068
168	4.55244
170	4.5533
172	4.5538
174	4.55544
176	4.55709
178	4.55855
180	4.55852
182	4.55902
184	4.55982
186	4.56024
188	4.56083
190	4.56207
192	4.56326
194	4.56313
196	4.56358
198	4.56385
200	4.56482
202	4.56541
204	4.56438
206	4.56495
208	4.56608
210	4.56701
212	4.56704
214	4.56626
216	4.56498
218	4.56535
220	4.5652
222	4.56398
224	4.5644
226	4.5651
228	4.56604
230	4.5662
232	4.56704
234	4.5677
236	4.56825
238	4.56949
240	4.57048
242	4.57008
244	4.57028
246	4.57021
248	4.56963
250	4.569
252	4.56852
254	4.56945
256	4.56867
258	4.5686
260	4.5692
262	4.57064
264	4.57165
266	4.57266
268	4.57229
270	4.57175
272	4.57203
274	4.57151
276	4.57214
278	4.57194
280	4.57218
282	4.57271
284	4.57239
286	4.57361
288	4.57337
290	4.57339
292	4.57424
294	4.57515
296	4.57487
298	4.57469
300	4.57455
302	4.57444
304	4.574
306	4.57519
308	4.57582
310	4.57605
312	4.57629
314	4.57566
316	4.5755
318	4.57677
320	4.57766
322	4.57749
324	4.57739
326	4.57737
328	4.57748
330	4.57805
332	4.57901
334	4.57959
336	4.58026
338	4.5799
340	4.57938
342	4.58017
344	4.58043
346	4.57972
348	4.57975
350	4.58047
352	4.58127
354	4.58153
356	4.5813
358	4.58225
360	4.58243
362	4.58182
364	4.5815
366	4.58085
368	4.57975
370	4.58027
372	4.58161
374	4.5813
376	4.58142
378	4.58252
380	4.58344
382	4.58261
384	4.58167
386	4.58182
388	4.58139
390	4.58167
392	4.58121
394	4.58125
396	4.58153
398	4.58095
400	4.58026
402	4.58082
404	4.58131
406	4.58111
408	4.58139
410	4.58311
412	4.58349
414	4.58484
416	4.58514
418	4.58504
420	4.5849
422	4.58486
424	4.58465
426	4.58516
428	4.58418
430	4.58378
432	4.58371
434	4.58443
436	4.58558
438	4.58527
440	4.5844
442	4.58513
444	4.58394
446	4.58189
448	4.58055
450	4.58105
452	4.58171
454	4.58169
456	4.58168
458	4.58183
460	4.5829
462	4.58382
464	4.58401
466	4.58436
468	4.58382
470	4.58474
472	4.58523
474	4.58507
476	4.58542
478	4.58583
480	4.58509
482	4.58521
484	4.58667
486	4.58695
488	4.58687
490	4.58735
492	4.58876
494	4.58875
496	4.58924
498	4.58919
500	4.58892
502	4.58876
504	4.58808
506	4.58864
508	4.58913
510	4.58937
512	4.58897
514	4.58891
516	4.58816
518	4.58875
520	4.58902
522	4.58801
524	4.58623
526	4.57838
528	4.56162
530	4.54208
532	4.51971
534	4.4987
536	4.47992
538	4.46374
540	4.44769
542	4.43242
544	4.42431
546	4.42628
548	4.43478
550	4.44725
552	4.45973
554	4.47245
556	4.48446
558	4.49545
560	4.50545
562	4.51439
564	4.5236
566	4.53109
568	4.53706
570	4.54293
572	4.54772
574	4.55212
576	4.55628
578	4.55914
580	4.56106
582	4.56357
584	4.56564
586	4.56724
588	4.56893
590	4.57055
592	4.57251
594	4.57525
596	4.57637
598	4.57701
600	4.57781
602	4.5791
604	4.58003
606	4.57974
608	4.58084
610	4.58192
612	4.58229
614	4.58227
616	4.58225
618	4.58242
620	4.58362
622	4.58281
624	4.58236
626	4.58306
628	4.58298
630	4.58217
632	4.582
634	4.58221
636	4.58223
638	4.58245
640	4.58216
642	4.58196
644	4.58263
646	4.58396
648	4.58569
650	4.58628
652	4.58631
654	4.58621
656	4.58704
658	4.58784
660	4.58759
662	4.58787
664	4.5873
666	4.5882
668	4.58969
670	4.58972
672	4.59045
674	4.59026
676	4.59016
678	4.59111
680	4.59044
682	4.59098
684	4.59303
686	4.59283
688	4.59298
690	4.59293
692	4.5942
694	4.59241
696	4.59161
698	4.59236
700	4.5941
702	4.59464
704	4.59468
706	4.59358
708	4.59401
710	4.59472
712	4.59375
714	4.59456
716	4.59447
718	4.59492
720	4.59535
722	4.5946
724	4.59429
726	4.59456
728	4.59415
730	4.59432
732	4.59424
734	4.59419
736	4.59455
738	4.59562
740	4.59543
742	4.59585
744	4.59599
746	4.59563
748	4.59492
750	4.59494
752	4.59577
754	4.5966
756	4.59687
758	4.59724
760	4.59852
762	4.59829
764	4.59794
766	4.59785
768	4.5984
770	4.59901
772	4.59892
774	4.59855
776	4.59802
778	4.59807
780	4.59814
782	4.59889
784	4.59955
786	4.59948
788	4.59976
790	4.60081
792	4.60059
794	4.60007
796	4.59985
798	4.59957
800	4.60063
802	4.60081
804	4.60005
