time	cp
2	-0.00132
4	-2.77791E-4
6	-0.00175
8	-0.00171
10	-2.72056E-4
12	-5.11477E-4
14	-5.22899E-4
16	-1.3032E-4
18	-5.50742E-4
20	-0.00106
22	-1.29585E-4
24	-7.37006E-4
26	-1.39427E-4
28	7.82151E-4
30	3.4673E-4
32	-2.60692E-4
34	1.19887E-4
36	0.00128
38	0.00155
40	0.00105
42	0.0011
44	8.40779E-4
46	3.42358E-4
48	0.0017
50	0.00237
52	0.00113
54	2.61672E-4
56	2.12501E-5
58	3.19829E-4
60	3.46407E-4
62	2.24986E-4
64	-1.85436E-4
66	-0.00105
68	-7.05279E-4
70	8.62996E-5
72	-4.34122E-4
74	-4.19543E-4
76	-1.39648E-5
78	6.87614E-4
80	-5.78078E-5
82	-2.63229E-4
84	-5.76508E-5
86	-6.69072E-4
88	-0.00138
90	-0.00113
92	1.94663E-4
94	4.95242E-4
96	7.82022E-6
98	-3.91601E-4
100	2.16977E-4
102	-1.43444E-4
104	-1.88866E-4
106	-1.50287E-4
108	3.32291E-4
110	3.6787E-4
112	2.64448E-4
114	7.57027E-4
116	0.0025
118	0.00174
120	5.51762E-4
122	3.83408E-5
124	-0.00234
126	-0.00637
128	-0.01223
130	-0.02266
132	-0.03764
134	-0.05161
136	-0.05799
138	-0.05829
140	-0.05597
142	-0.0514
144	-0.04624
146	-0.0412
148	-0.03731
150	-0.03331
152	-0.02919
154	-0.02492
156	-0.02281
158	-0.02055
160	-0.01761
162	-0.0144
164	-0.01231
166	-0.0106
168	-0.00901
170	-0.00832
172	-0.00798
174	-0.00652
176	-0.00503
178	-0.00374
180	-0.00394
182	-0.00361
184	-0.00297
186	-0.00272
188	-0.0023
190	-0.00123
192	-2.01411E-4
194	-5.21513E-4
196	-2.9538E-4
198	-2.47248E-4
200	4.94885E-4
202	8.60018E-4
204	-3.9485E-4
206	-4.67169E-5
208	8.55416E-4
210	0.00156
212	0.00137
214	3.54814E-4
216	-0.00114
218	-9.98921E-4
220	-0.00137
222	-0.00282
224	-0.00263
226	-0.00215
228	-0.00143
230	-0.0015
232	-8.85992E-4
234	-4.49859E-4
236	-1.23727E-4
238	8.86406E-4
240	0.00166
242	0.00106
244	0.00107
246	8.11739E-4
248	4.47555E-5
250	-7.69228E-4
252	-0.00144
254	-6.97196E-4
256	-0.00167
258	-0.00192
260	-0.0015
262	-2.53131E-4
264	5.75885E-4
266	0.0014
268	8.44918E-4
270	1.17934E-4
272	2.1695E-4
274	-4.97034E-4
276	-5.40175E-5
278	-4.37001E-4
280	-3.77985E-4
282	-3.29688E-5
284	-5.47953E-4
286	4.91064E-4
288	6.10799E-5
290	-1.32727E-4
292	4.70588E-4
294	0.00114
296	6.19219E-4
298	2.03534E-4
300	-1.78151E-4
302	-5.30836E-4
304	-0.00121
306	-2.57206E-4
308	1.27109E-4
310	1.16424E-4
312	1.18739E-4
314	-7.58945E-4
316	-0.00116
318	-1.23315E-4
320	5.29E-4
322	1.17315E-4
324	-2.2937E-4
326	-4.91055E-4
328	-6.1574E-4
330	-2.86425E-4
332	4.27891E-4
334	7.71206E-4
336	0.0012
338	6.68864E-4
340	1.06409E-5
342	6.54418E-4
344	7.69195E-4
346	-8.40278E-5
348	-1.95251E-4
350	3.82526E-4
352	0.00105
354	0.00116
356	7.88858E-4
358	0.0016
360	0.00163
362	8.84189E-4
364	4.15966E-4
366	-3.76257E-4
368	-0.00161
370	-0.00123
372	-3.69253E-5
374	-4.95148E-4
376	-5.17371E-4
378	4.41406E-4
380	0.00122
382	2.5096E-4
384	-8.36263E-4
386	-8.15466E-4
388	-0.00138
390	-0.00123
392	-0.00182
394	-0.00191
396	-0.00177
398	-0.00247
400	-0.00329
402	-0.00287
404	-0.00251
406	-0.00283
408	-0.00269
410	-0.0011
412	-8.54141E-4
414	3.62576E-4
416	5.37294E-4
418	3.08011E-4
420	3.27285E-5
422	-1.42554E-4
424	-4.75837E-4
426	-1.0212E-4
428	-0.00121
430	-0.00174
432	-0.00194
434	-0.00131
436	-2.38698E-4
438	-6.25186E-4
440	-0.00158
442	-9.25161E-4
444	-0.0022
446	-0.00432
448	-0.00574
450	-0.00533
452	-0.00475
454	-0.00484
456	-0.00493
458	-0.00487
460	-0.00387
462	-0.00303
464	-0.00292
466	-0.00265
468	-0.00327
470	-0.00243
472	-0.00202
474	-0.00225
476	-0.00199
478	-0.00165
480	-0.00248
482	-0.00243
484	-0.00105
486	-8.5058E-4
488	-0.001
490	-6.02414E-4
492	7.34169E-4
494	6.44751E-4
496	0.00106
498	9.36917E-4
500	5.93499E-4
502	3.56082E-4
504	-4.00335E-4
506	7.72476E-5
508	4.9683E-4
510	6.53413E-4
512	1.77996E-4
514	4.75785E-5
516	-7.81839E-4
518	-2.66256E-4
520	-7.46733E-5
522	-0.00116
524	-0.00302
526	-0.01094
528	-0.02778
530	-0.0474
532	-0.06983
534	-0.09092
536	-0.10977
538	-0.12603
540	-0.14214
542	-0.15749
544	-0.16568
546	-0.16378
548	-0.15535
550	-0.14295
552	-0.13054
554	-0.1179
556	-0.10596
558	-0.09504
560	-0.08512
562	-0.07625
564	-0.06711
566	-0.05969
568	-0.05379
570	-0.048
572	-0.04328
574	-0.03896
576	-0.03487
578	-0.0321
580	-0.03025
582	-0.02782
584	-0.02584
586	-0.02431
588	-0.02271
590	-0.02117
592	-0.01929
594	-0.01663
596	-0.0156
598	-0.01504
600	-0.01432
602	-0.01311
604	-0.01226
606	-0.01264
608	-0.01162
610	-0.01062
612	-0.01033
614	-0.01043
616	-0.01053
618	-0.01045
620	-0.00932
622	-0.01021
624	-0.01075
626	-0.01013
628	-0.01029
630	-0.01118
632	-0.01144
634	-0.01131
636	-0.01137
638	-0.01123
640	-0.01161
642	-0.01188
644	-0.0113
646	-0.01005
648	-0.0084
650	-0.00789
652	-0.00795
654	-0.00813
656	-0.00738
658	-0.00666
660	-0.00699
662	-0.00679
664	-0.00744
666	-0.00663
668	-0.00521
670	-0.00527
672	-0.00462
674	-0.00489
676	-0.00507
678	-0.00421
680	-0.00496
682	-0.0045
684	-0.00254
686	-0.00282
688	-0.00275
690	-0.00288
692	-0.0017
694	-0.00357
696	-0.00445
698	-0.00377
700	-0.00212
702	-0.00166
704	-0.0017
706	-0.00288
708	-0.00253
710	-0.00191
712	-0.00296
714	-0.00223
716	-0.0024
718	-0.00203
720	-0.0017
722	-0.00257
724	-0.003
726	-0.00284
728	-0.00337
730	-0.0033
732	-0.0035
734	-0.00367
736	-0.00342
738	-0.00246
740	-0.00277
742	-0.00246
744	-0.00243
746	-0.00291
748	-0.00373
750	-0.00383
752	-0.00311
754	-0.00239
756	-0.00224
758	-0.00198
760	-8.19549E-4
762	-0.00116
764	-0.00163
766	-0.00183
768	-0.00136
770	-8.08054E-4
772	-9.59173E-4
774	-0.00138
776	-0.00198
778	-0.00198
780	-0.00197
782	-0.00128
784	-6.76893E-4
786	-8.04013E-4
788	-5.80133E-4
790	4.06747E-4
792	1.30627E-4
794	-4.42493E-4
796	-7.28613E-4
798	-0.00106
800	-6.48525E-5
802	6.60275E-5
804	-7.53092E-4
806	-2.31212E-4
808	-4.65332E-4
810	-0.00229
812	-0.00259
814	-0.00278
816	-0.00178
818	-0.0012
820	-9.52957E-4
822	-0.00187
824	-0.00105
826	-1.90292E-4
828	4.35596E-4
830	7.88484E-4
832	7.04372E-4
834	0.00141
836	-5.41852E-4
838	6.90366E-5
840	2.83925E-4
842	-7.1187E-5
844	-0.00108
846	-2.26411E-4
848	-7.82522E-4
850	-0.00159
852	-0.00174
854	-0.00217
856	-0.00246
858	-0.00349
860	-0.00349
862	-0.00188
864	-8.54974E-4
866	5.5853E-4
868	5.79034E-4
870	0.00102
872	7.45042E-4
874	0.00106
876	0.00119
878	8.83554E-4
880	-2.69942E-4
882	3.89562E-4
884	5.28066E-4
886	-1.6543E-4
888	2.86074E-4
890	-2.03422E-4
892	-0.001
894	-0.00147
896	-0.00114
898	-7.90406E-4
900	-5.66901E-4
902	-7.69397E-4
904	-0.00147
906	-6.90389E-4
908	-5.86885E-4
910	-8.89381E-4
912	3.82598E-4
914	8.02423E-4
916	2.28248E-4
918	2.53073E-4
920	-1.50102E-4
922	-0.00127
924	-0.00252
926	-0.01098
928	-0.02808
930	-0.04902
932	-0.07101
934	-0.09143
936	-0.11166
938	-0.13011
940	-0.14571
942	-0.15994
944	-0.16883
946	-0.16632
948	-0.1588
950	-0.14771
952	-0.13405
