time	cp
2	0.1214
4	0.1164
6	0.11205
8	0.10646
10	0.10105
12	0.09421
14	0.08966
16	0.0849
18	0.08007
20	0.07654
22	0.07276
24	0.06888
26	0.06485
28	0.06029
30	0.05617
32	0.0513
34	0.0453
36	0.04051
38	0.03586
40	0.03152
42	0.02683
44	0.02218
46	0.01599
48	0.01111
50	0.00732
52	0.0074
54	0.0063
56	0.00441
58	0.00476
60	0.00501
62	0.00394
64	0.00324
66	0.00342
68	0.00325
70	0.00122
72	7.16045E-4
74	5.46175E-4
76	8.07306E-4
78	8.84437E-4
80	-3.37432E-4
82	-0.00116
84	-0.00175
86	-4.50039E-4
88	5.94091E-4
90	0.00119
92	-4.71647E-4
94	-0.0034
96	-0.00435
98	-0.00451
100	-0.00407
102	-0.00406
104	-0.00479
106	-0.00555
108	-0.00561
110	-0.00522
112	-0.00595
114	-0.00592
116	-0.00502
118	-0.00346
120	-0.0016
122	-4.8684E-5
124	-9.17553E-4
126	-0.0143
128	-0.08382
130	-0.19177
132	-0.2662
134	-0.29845
136	-0.3034
138	-0.29325
140	-0.27344
142	-0.25158
144	-0.2289
146	-0.20623
148	-0.18524
150	-0.16665
152	-0.14988
154	-0.13521
156	-0.122
158	-0.10957
160	-0.09989
162	-0.09
164	-0.08314
166	-0.07539
168	-0.06886
170	-0.06376
172	-0.05842
174	-0.05313
176	-0.0498
178	-0.0473
180	-0.04523
182	-0.04401
184	-0.04196
186	-0.04134
188	-0.04156
190	-0.04101
192	-0.03924
194	-0.03757
196	-0.03711
198	-0.03637
200	-0.03509
202	-0.03421
204	-0.03354
206	-0.03257
208	-0.03176
210	-0.03002
212	-0.02812
214	-0.02806
216	-0.02841
218	-0.02818
220	-0.0268
222	-0.02678
224	-0.02683
226	-0.02632
228	-0.0256
230	-0.02615
232	-0.02704
234	-0.02624
236	-0.02607
238	-0.02641
240	-0.02595
242	-0.02485
244	-0.0245
246	-0.02435
248	-0.02516
250	-0.02579
252	-0.02489
254	-0.02483
256	-0.02467
258	-0.02546
260	-0.02479
262	-0.02297
264	-0.02264
266	-0.02163
268	-0.02094
270	-0.02017
272	-0.01983
