time	cp
2	-0.05153
4	-0.05061
6	-0.05098
8	-0.05118
10	-0.05006
12	-0.05042
14	-0.04938
16	-0.0474
18	-0.04602
20	-0.04511
22	-0.04408
24	-0.04255
26	-0.04075
28	-0.03871
30	-0.03812
32	-0.03745
34	-0.03706
36	-0.0362
38	-0.03537
40	-0.03414
42	-0.03267
44	-0.0311
46	-0.02936
48	-0.02715
50	-0.0268
52	-0.02576
54	-0.02526
56	-0.02408
58	-0.02188
60	-0.0188
62	-0.01893
64	-0.01821
66	-0.01739
68	-0.0155
70	-0.01449
72	-0.0134
74	-0.01225
76	-0.01155
78	-0.01108
80	-0.01131
82	-0.011
84	-0.00998
86	-0.0084
88	-0.0061
90	-0.00552
92	-0.00545
94	-0.00482
96	-0.00253
98	-0.00171
100	-7.916E-4
102	-3.51886E-5
104	-3.69777E-4
106	-0.00135
108	-8.45954E-4
110	6.34577E-5
112	6.49869E-4
114	5.55281E-4
116	-6.73076E-5
118	4.82104E-4
120	2.14515E-4
122	-3.08073E-4
124	-0.03152
126	-0.30685
128	-0.87648
130	-1.62407
132	-2.45025
134	-3.26377
136	-4.02624
138	-4.71
140	-5.31681
142	-5.84177
144	-6.28525
146	-6.65202
148	-6.95559
150	-7.2003
152	-7.39257
154	-7.4318
156	-7.23591
158	-6.86234
160	-6.38292
162	-5.86598
164	-5.35285
166	-4.86586
168	-4.41558
170	-4.00782
172	-3.64352
174	-3.32055
176	-3.03502
178	-2.78292
180	-2.56073
182	-2.36793
184	-2.19984
186	-2.05329
188	-1.9259
190	-1.81493
192	-1.71885
194	-1.63506
196	-1.56175
198	-1.49717
200	-1.44126
202	-1.39203
204	-1.3484
206	-1.3079
208	-1.27073
210	-1.23796
212	-1.20841
214	-1.18015
216	-1.15423
218	-1.12956
220	-1.1077
222	-1.0867
224	-1.06607
226	-1.04623
228	-1.02802
230	-1.01098
232	-0.99493
234	-0.97889
236	-0.96277
238	-0.94807
240	-0.93472
242	-0.92271
244	-0.91114
246	-0.89981
248	-0.88841
250	-0.87755
252	-0.86796
254	-0.85858
256	-0.84898
258	-0.83943
260	-0.83058
262	-0.82194
264	-0.81266
266	-0.80321
268	-0.79332
270	-0.78504
272	-0.7776
274	-0.77029
276	-0.76289
278	-0.75578
280	-0.74907
282	-0.74183
284	-0.73426
286	-0.72671
288	-0.71928
290	-0.71284
292	-0.70751
294	-0.7002
296	-0.69398
298	-0.68838
300	-0.68344
302	-0.67737
304	-0.67143
306	-0.66446
308	-0.65741
310	-0.6526
312	-0.64859
