DH	INJV	Xt	Mt	XMt	NDH
151.89094	12	0	0.177	0.98204	611.92064
154.77682	12	0.17237	0.17553	1.97226	623.54695
153.34223	12	0.3433	0.17406	2.97066	617.7674
152.84362	12	0.51277	0.17261	3.97725	615.7587
157.72932	12	0.6808	0.17117	4.99202	635.44161
148.04914	12	0.84737	0.16975	6.01497	596.44322
140.59792	12	1.0125	0.16833	7.04611	566.42461
129.34372	12	1.17619	0.16693	8.08544	521.08501
121.69873	12	1.33842	0.16553	9.13294	490.28574
118.25788	12	1.4992	0.16415	10.18863	476.42367
110.47475	12	1.65854	0.16278	11.2525	445.06789
109.74109	12	1.81642	0.16142	12.32456	442.1122
105.96384	12	1.97286	0.16008	13.4048	426.89485
104.48695	12	2.12785	0.15874	14.49322	420.94492
96.14753	12	2.28139	0.15741	15.58983	387.34805
38.84055	12	2.43349	0.15609	16.69462	156.47632
25.50455	12	2.58413	0.15479	17.8076	102.74976
19.38621	12	2.73333	0.15349	18.92876	78.10093
15.98204	12	2.88107	0.15221	20.0581	64.3866
17.68218	12	3.02737	0.15093	21.19562	71.23591
	--	3.17222	0.14966	--	
