time	cp
2	0.00305
4	0.00465
6	0.00493
8	0.00511
10	0.00453
12	0.00471
14	0.00441
16	0.00302
18	0.00289
20	0.00293
22	0.00255
24	0.0038
26	0.00499
28	0.00534
30	0.00523
32	0.00421
34	0.00317
36	0.0024
38	0.00282
40	0.00324
42	0.00261
44	0.00215
46	0.00163
48	0.001
50	7.23931E-4
52	4.55306E-4
54	8.82682E-4
56	0.0047
58	0.00627
60	0.00465
62	0.00304
64	0.00146
66	1.18936E-4
68	-9.77688E-4
70	-9.05312E-4
72	-5.59365E-5
74	1.19439E-4
76	4.60815E-4
78	8.74191E-4
80	0.00157
82	0.00165
84	0.0012
86	0.00116
88	0.00154
90	8.10445E-4
92	-3.06179E-4
94	-8.8035E-6
96	1.54572E-4
98	4.36948E-4
100	8.83324E-4
102	0.00194
104	0.00179
106	0.00173
108	0.00133
110	0.00115
112	0.00173
114	0.00141
116	3.36329E-4
118	1.92705E-4
120	-1.02919E-4
122	-5.25434E-5
124	0.00101
126	0.00714
128	0.09523
130	0.37549
132	0.78285
134	1.23978
136	1.69742
138	2.13012
140	2.52573
142	2.88302
144	3.19658
146	3.47614
148	3.71823
150	3.93129
152	4.10968
154	4.24384
156	4.19018
158	3.93298
160	3.58133
162	3.20313
164	2.83568
166	2.49494
168	2.186
170	1.91157
172	1.66796
174	1.45367
176	1.26732
178	1.10633
180	0.96861
182	0.84929
184	0.74795
186	0.65996
188	0.58495
190	0.52098
192	0.46537
194	0.41817
196	0.37765
198	0.34206
200	0.3115
202	0.2845
204	0.26078
206	0.24055
208	0.22191
210	0.20526
212	0.19062
214	0.17506
216	0.16266
218	0.15128
220	0.14031
222	0.13111
224	0.12277
226	0.11421
228	0.10717
230	0.10019
232	0.0933
234	0.08724
236	0.0814
238	0.07693
240	0.07272
242	0.06962
244	0.06591
246	0.06205
248	0.06011
250	0.05746
252	0.05474
254	0.05317
256	0.05083
258	0.05012
260	0.04819
262	0.04689
264	0.04499
266	0.04255
268	0.04081
270	0.03955
272	0.0372
274	0.036
276	0.03648
278	0.03551
280	0.03573
282	0.03589
284	0.03523
286	0.03406
288	0.03317
290	0.03184
292	0.03092
294	0.03033
296	0.03002
298	0.02956
300	0.02928
302	0.02862
304	0.0264
306	0.02499
308	0.02466
310	0.02342
312	0.02211
314	0.02109
316	0.02073
318	0.01964
320	0.01909
322	0.01888
324	0.01767
326	0.01629
328	0.01583
330	0.01697
332	0.01709
334	0.01615
336	0.01557
338	0.01562
340	0.01554
342	0.0159
344	0.01483
346	0.01329
348	0.01404
350	0.01434
352	0.01534
354	0.01598
356	0.01717
358	0.01649
360	0.01474
362	0.0135
364	0.01278
