DH	INJV	Xt	Mt	XMt	NDH
-19.59761	12	0	0.017	2.7266	-296.0722
-9.98161	12	0.04597	0.01686	5.47591	-150.79787
-9.94904	12	0.09155	0.01672	8.24795	-150.30574
-7.69643	12	0.13674	0.01658	11.04271	-116.27431
-6.17671	12	0.18155	0.01644	13.8602	-93.31502
-4.92152	12	0.22597	0.0163	16.7004	-74.35217
-3.90132	12	0.27	0.01617	19.56333	-58.93951
-3.97954	12	0.31365	0.01603	22.44897	-60.12114
-1.0972	12	0.35691	0.0159	25.35734	-16.57606
1.09948	12	0.39979	0.01577	28.28843	16.61054
0.04388	12	0.44228	0.01563	31.24224	0.66294
1.26313	12	0.48438	0.0155	34.21878	19.08284
1.1846	12	0.5261	0.01537	37.21803	17.89643
0.82026	12	0.56743	0.01525	40.24001	12.39219
2.55375	12	0.60837	0.01512	43.28471	38.58099
2.1664	12	0.64893	0.01499	46.35213	32.72897
2.14799	12	0.6891	0.01487	49.44227	32.45094
2.35809	12	0.72889	0.01474	52.55514	35.62499
2.69779	12	0.76829	0.01462	55.69072	40.75707
2.8798	12	0.8073	0.0145	58.84903	43.50675
	--	0.84593	0.01437	--	
