DH	INJV	Xt	Mt	XMt	NDH
11.67955	12	0	0.03546	1.30717	176.44961
11.25633	12	0.04597	0.03516	2.62523	170.05582
10.95928	12	0.09155	0.03487	3.95418	165.568
10.83617	12	0.13674	0.03458	5.29402	163.70821
10.78458	12	0.18155	0.03429	6.64476	162.9288
11.0337	12	0.22597	0.03401	8.0064	166.69235
11.07711	12	0.27	0.03372	9.37892	167.34814
10.24149	12	0.31365	0.03344	10.76234	154.72394
10.16437	12	0.35691	0.03316	12.15665	153.55883
9.64868	12	0.39979	0.03289	13.56185	145.76807
9.9291	12	0.44228	0.03261	14.97795	150.00451
10.36996	12	0.48438	0.03234	16.40494	156.6648
9.51265	12	0.5261	0.03207	17.84282	143.71292
9.79774	12	0.56743	0.0318	19.2916	148.02006
9.41866	12	0.60837	0.03154	20.75127	142.29307
9.57568	12	0.64893	0.03127	22.22183	144.66516
8.99331	12	0.6891	0.03101	23.70329	135.86701
9.0264	12	0.72889	0.03075	25.19564	136.36688
8.82232	12	0.76829	0.03049	26.69888	133.28381
8.18947	12	0.8073	0.03024	28.21301	123.72299
	--	0.84593	0.02998	--	
