time	cp
2	0.63758
4	0.61882
6	0.60048
8	0.58313
10	0.56456
12	0.54562
14	0.52707
16	0.50812
18	0.49045
20	0.47149
22	0.4527
24	0.43464
26	0.41653
28	0.39791
30	0.38044
32	0.36323
34	0.34599
36	0.32747
38	0.30819
40	0.28955
42	0.27092
44	0.25238
46	0.23385
48	0.21547
50	0.1973
52	0.17916
54	0.15968
56	0.14209
58	0.12532
60	0.1067
62	0.08924
64	0.07131
66	0.05241
68	0.03473
70	0.0163
72	8.98616E-4
74	-3.6092E-4
76	-0.00103
78	-0.00155
80	-3.02527E-4
82	-5.90633E-5
84	2.90401E-4
86	-4.5135E-5
88	-2.70671E-4
90	3.67793E-4
92	0.00156
94	0.00198
96	0.00204
98	0.00214
100	0.00148
102	0.00165
104	0.00212
106	0.00134
108	-8.7603E-4
110	-3.46565E-4
112	-0.00101
114	-7.93637E-4
116	-6.72173E-4
118	-8.40709E-4
120	1.23755E-4
122	-5.87807E-5
124	7.20683E-4
126	0.0146
128	0.07834
130	0.18368
132	0.30888
134	0.4373
136	0.56302
138	0.68101
140	0.78948
142	0.88629
144	0.97276
146	1.04713
148	1.11292
150	1.16859
152	1.21581
154	1.22248
156	1.16872
158	1.07776
160	0.97406
162	0.86985
164	0.77094
166	0.67932
168	0.59527
170	0.5198
172	0.45349
174	0.39552
176	0.34574
178	0.30254
180	0.26513
182	0.23302
184	0.20567
186	0.18323
188	0.16362
190	0.14634
192	0.13149
194	0.11879
196	0.10866
198	0.09892
200	0.08983
202	0.08239
204	0.07514
206	0.0691
208	0.06388
210	0.05853
212	0.0526
214	0.04951
216	0.04646
218	0.04281
220	0.0399
222	0.03621
224	0.03314
226	0.03054
228	0.02827
230	0.02699
232	0.02588
234	0.02528
236	0.02329
238	0.02138
240	0.02027
242	0.01934
244	0.01828
246	0.01762
248	0.01662
250	0.01527
252	0.0146
254	0.01292
256	0.0131
258	0.01304
260	0.01172
262	0.00966
264	0.00996
266	0.01041
268	0.00996
270	0.01015
272	0.01086
274	0.01079
276	0.01117
278	0.01036
280	0.00974
282	0.00971
284	0.01045
286	0.01093
288	0.01081
290	0.01063
292	0.01058
294	0.01122
296	0.01103
298	0.01048
300	0.0107
302	0.01061
304	0.01012
306	0.0098
308	0.00935
310	0.00903
312	0.00843
314	0.00841
316	0.0079
318	0.00885
320	0.00928
322	0.00927
324	0.00937
326	0.00914
328	0.0088
330	0.01003
332	0.01046
334	0.01068
336	0.01055
338	0.00977
340	0.00949
342	0.00828
344	0.00732
346	0.00769
348	0.0095
350	0.00848
352	0.00834
354	0.0087
356	0.00877
358	0.00872
360	0.00792
362	0.00712
364	0.00681
366	0.00693
368	0.00637
370	0.00756
372	0.00745
374	0.00653
376	0.00669
378	0.00649
380	0.00588
382	0.00506
384	0.00487
386	0.00443
388	0.00293
390	0.00359
392	0.00457
394	0.00493
396	0.00466
398	0.00465
400	0.0033
402	0.00207
404	0.00245
406	0.00222
408	0.00215
410	8.89037E-4
412	5.59037E-4
414	0.00183
416	0.0012
418	0.00127
420	0.0019
422	0.00168
424	8.58396E-4
426	7.45076E-4
428	6.32755E-4
430	8.48435E-4
432	-1.11886E-4
434	-9.64206E-4
436	-0.00125
438	-1.75847E-4
440	-4.99167E-4
442	-4.24488E-4
444	1.28192E-4
446	-9.30129E-4
448	-6.16449E-4
450	8.0923E-4
452	5.89098E-5
454	-3.84106E-5
456	-4.85731E-4
458	-5.10052E-4
460	1.45628E-4
462	9.43076E-5
464	-2.88013E-4
466	3.46667E-5
468	-1.34654E-4
470	-5.09974E-4
472	-0.0013
474	-9.49615E-4
476	-7.66936E-4
478	-4.59256E-4
480	-0.00107
482	-0.00199
484	-0.00181
486	-0.00199
488	-0.00147
490	-0.00214
492	-0.00154
494	-0.00186
496	-0.00156
498	-0.00129
500	-7.98729E-4
502	-0.00134
504	-0.00107
506	-6.96595E-4
508	-0.00117
510	2.65494E-4
512	-4.48461E-4
514	-7.21417E-4
516	-1.79372E-4
518	3.07672E-4
520	-6.41283E-4
522	-0.00133
524	-8.31194E-4
526	1.2485E-4
528	-3.69105E-4
530	6.57939E-4
532	2.39984E-4
534	7.60028E-4
536	0.00114
538	0.00164
540	0.00155
542	0.0019
544	9.95251E-4
546	-4.57043E-5
548	-1.8366E-4
550	7.61385E-4
552	0.00115
554	0.00173
556	0.0023
558	0.00199
560	0.00163
562	0.00231
564	0.003
566	0.00294
568	0.00256
570	0.00237
572	0.00282
574	0.00287
576	0.00338
578	0.00239
580	0.00216
582	0.00355
584	0.00442
586	0.00386
588	0.0031
590	0.00271
592	0.00304
594	0.00365
596	0.00277
598	0.00214
600	0.00152
602	0.00177
604	0.00159
606	0.00167
608	0.00207
610	0.00333
612	0.00292
614	0.00261
616	0.00259
618	0.00306
620	0.00365
622	0.00378
624	0.00429
626	0.0043
628	0.00521
630	0.00499
632	0.00419
634	0.00399
636	0.00423
638	0.00445
640	0.00435
642	0.00427
644	0.00383
646	0.00301
648	0.00346
650	0.00333
652	0.00332
654	0.00299
656	0.00277
658	0.00245
660	0.00269
662	0.00213
664	0.00198
666	9.65139E-4
668	-1.04543E-4
670	1.51775E-4
672	8.83092E-4
674	0.00122
676	9.63728E-4
678	8.53046E-4
680	0.00121
682	0.0017
684	0.00141
686	6.74317E-4
688	8.48635E-4
690	0.00109
692	2.15271E-4
694	6.05588E-4
696	7.41906E-4
698	9.02241E-5
700	4.81754E-4
702	-2.0961E-4
704	-9.12975E-4
706	-4.89339E-4
708	-2.05703E-4
710	-5.78067E-4
712	-9.11431E-4
714	-9.51796E-4
716	-0.001
718	-7.44524E-4
720	-6.74888E-4
722	-0.00135
724	0.00161
726	0.03901
728	0.12985
730	0.25116
732	0.38209
734	0.51039
736	0.63083
738	0.74085
740	0.83925
742	0.92738
744	1.00397
746	1.07222
748	1.13188
750	1.18293
752	1.22494
754	1.23382
756	1.18244
758	1.09429
760	0.9911
762	0.88551
764	0.78427
766	0.69005
768	0.6053
770	0.52932
772	0.46212
774	0.40459
776	0.35328
778	0.30898
780	0.27121
782	0.23833
784	0.21072
786	0.18776
788	0.16865
790	0.15005
792	0.13328
794	0.11997
796	0.10854
798	0.09839
800	0.08943
802	0.08309
804	0.07701
806	0.07054
808	0.06516
810	0.05974
812	0.05544
814	0.05054
816	0.04594
818	0.04102
820	0.03745
822	0.03438
824	0.03075
826	0.02802
828	0.02647
830	0.02395
832	0.02176
834	0.02051
836	0.01967
838	0.01831
840	0.01728
842	0.01647
844	0.01624
846	0.0152
848	0.01403
850	0.01305
852	0.01163
854	0.01235
856	0.01195
858	0.01015
860	0.00884
862	0.00874
864	0.00849
866	0.00867
868	0.00738
870	0.00699
872	0.00536
874	0.00415
876	0.00368
878	0.00383
880	0.00366
882	0.00409
884	0.00414
886	0.00299
888	0.00231
890	0.00392
892	0.00225
894	8.5475E-4
896	8.56435E-4
898	6.0112E-4
900	-2.37195E-4
902	-5.9751E-4
904	-5.60825E-4
906	6.88597E-5
908	1.8041E-4
910	-1.65713E-4
912	0.00113
914	0.00127
916	2.76916E-4
918	1.1793E-5
920	1.8867E-4
922	-0.00153
924	-0.00188
926	-0.00109
928	-0.00122
930	-0.00168
932	-0.00173
934	-9.93194E-4
936	-3.44317E-4
938	3.47559E-4
940	6.83436E-4
942	-2.10687E-4
944	6.71891E-5
946	3.66066E-4
948	0.00146
950	0.00204
952	0.00188
954	3.22572E-4
956	7.58449E-4
958	0.00183
960	0.00109
962	1.40788E-5
964	-1.25045E-4
966	-6.26168E-4
968	6.77086E-5
970	8.12585E-4
972	5.06462E-4
974	2.28339E-4
976	2.80215E-4
978	-9.1413E-5
980	-1.25051E-4
982	-2.49688E-4
984	5.17674E-4
986	-6.22963E-4
988	-0.00149
990	-0.00167
992	-0.0014
994	-0.00142
996	-0.00119
998	-6.18789E-4
1000	-0.00171
1002	-0.00185
1004	-5.52702E-4
1006	8.6266E-4
1008	0.00144
1010	0.0011
1012	3.37476E-5
1014	-2.189E-5
1016	6.68472E-4
1018	2.30835E-4
1020	-6.27803E-4
1022	-2.3944E-4
1024	3.68922E-4
1026	7.55284E-4
1028	5.39647E-4
1030	9.24009E-4
1032	0.00104
1034	0.00104
1036	6.45096E-4
1038	-6.71541E-4
1040	-5.25179E-4
1042	7.10183E-4
1044	0.00102
1046	4.04908E-4
1048	-4.55493E-4
1050	-2.48658E-4
1052	-9.28221E-5
1054	-8.99867E-5
1056	-9.01513E-5
1058	3.32684E-4
1060	-5.0048E-4
1062	-5.55645E-4
1064	-6.5381E-4
1066	-4.52974E-4
1068	-7.15139E-4
1070	-8.52303E-4
1072	-0.00119
1074	-4.19633E-4
1076	2.38203E-4
1078	-0.0012
1080	-0.00108
