DH	INJV	Xt	Mt	XMt	NDH
138.93376	12	0	0.177	0.98204	559.72025
142.52961	12	0.17237	0.17553	1.97226	574.20681
141.75773	12	0.3433	0.17406	2.97066	571.09713
140.75986	12	0.51277	0.17261	3.97725	567.07704
141.48012	12	0.6808	0.17117	4.99202	569.97872
142.80393	12	0.84737	0.16975	6.01497	575.31195
133.27158	12	1.0125	0.16833	7.04611	536.90909
140.91053	12	1.17619	0.16693	8.08544	567.68402
130.21982	12	1.33842	0.16553	9.13294	524.61453
123.78712	12	1.4992	0.16415	10.18863	498.6992
112.24988	12	1.65854	0.16278	11.2525	452.21933
104.95018	12	1.81642	0.16142	12.32456	422.81114
103.32849	12	1.97286	0.16008	13.4048	416.27785
99.43376	12	2.12785	0.15874	14.49322	400.5872
96.99084	12	2.28139	0.15741	15.58983	390.74547
94.82042	12	2.43349	0.15609	16.69462	382.00153
32.91867	12	2.58413	0.15479	17.8076	132.61892
23.99174	12	2.73333	0.15349	18.92876	96.65513
16.33114	12	2.88107	0.15221	20.0581	65.79301
15.90342	12	3.02737	0.15093	21.19562	64.06985
	--	3.17222	0.14966	--	
