time	cp
2	4.73755
4	4.73716
6	4.737
8	4.73665
10	4.73571
12	4.73602
14	4.73534
16	4.73463
18	4.735
20	4.73597
22	4.73546
24	4.73546
26	4.73525
28	4.73497
30	4.73478
32	4.73543
34	4.73578
36	4.73577
38	4.73635
40	4.7356
42	4.73616
44	4.73618
46	4.73675
48	4.73697
50	4.73689
52	4.73649
54	4.73599
56	4.73534
58	4.73563
60	4.73703
62	4.7374
64	4.73718
66	4.73764
68	4.73798
70	4.73828
72	4.73847
74	4.73914
76	4.73954
78	4.73937
80	4.73852
82	4.7377
84	4.73708
86	4.7369
88	4.73593
90	4.73683
92	4.73772
94	4.73623
96	4.73567
98	4.73639
100	4.73663
102	4.73535
104	4.73522
106	4.73656
108	4.73679
110	4.73676
112	4.73742
114	4.73701
116	4.73575
118	4.73621
120	4.73729
122	4.73723
124	4.73658
126	4.73434
128	4.73712
130	4.74901
132	4.76673
134	4.78614
136	4.80191
138	4.8085
140	4.80915
142	4.80513
144	4.79988
146	4.79636
148	4.7898
150	4.7825
152	4.77781
154	4.77425
156	4.77035
158	4.7673
160	4.76397
162	4.76025
164	4.7572
166	4.75346
168	4.75227
170	4.75083
172	4.74943
174	4.74786
176	4.74586
178	4.74549
180	4.74446
182	4.74465
184	4.74477
186	4.74528
188	4.74414
190	4.74321
192	4.74409
194	4.74388
196	4.74213
198	4.74108
200	4.74155
202	4.74102
204	4.74095
206	4.74075
208	4.73972
210	4.73977
212	4.74048
214	4.74075
216	4.73996
218	4.74104
220	4.74116
222	4.74043
224	4.74022
226	4.73967
228	4.74004
230	4.74007
232	4.73919
234	4.73858
236	4.73829
238	4.7379
240	4.73821
242	4.73838
244	4.73775
246	4.73883
248	4.73991
250	4.74082
252	4.74004
254	4.7392
256	4.73824
258	4.73749
260	4.73731
262	4.73794
264	4.73804
266	4.7383
268	4.73747
270	4.73717
272	4.73833
274	4.73839
276	4.73975
278	4.73932
280	4.73825
282	4.73792
284	4.73797
286	4.73844
288	4.73854
290	4.73857
292	4.73794
294	4.73776
296	4.73905
298	4.73929
300	4.73773
302	4.73765
304	4.73706
306	4.73793
308	4.73882
310	4.73806
312	4.73846
314	4.73831
316	4.73792
318	4.73811
320	4.73931
322	4.73947
324	4.73886
326	4.73862
328	4.73918
330	4.73923
332	4.73904
334	4.73886
336	4.73887
338	4.73672
340	4.7366
342	4.73582
344	4.73553
346	4.7357
348	4.73608
350	4.73709
352	4.73802
354	4.73732
