DH	INJV	Xt	Mt	XMt	NDH
5.03702	12	0	0.03546	0.98037	101.46281
6.19973	12	0.03447	0.03516	1.96892	124.8837
5.99771	12	0.06866	0.03487	2.96563	120.81441
6.6781	12	0.10255	0.03458	3.97052	134.51977
7.11758	12	0.13616	0.03429	4.98357	143.37238
8.58895	12	0.16947	0.03401	6.0048	173.01093
10.55709	12	0.2025	0.03372	7.03419	212.65593
10.78775	12	0.23524	0.03344	8.07175	217.3021
12.36686	12	0.26768	0.03316	9.11749	249.11086
9.69102	12	0.29984	0.03289	10.17139	195.2102
8.31268	12	0.33171	0.03261	11.23346	167.44574
7.62586	12	0.36328	0.03234	12.30371	153.61088
6.87178	12	0.39457	0.03207	13.38212	138.42116
6.2409	12	0.42557	0.0318	14.4687	125.71305
6.16273	12	0.45628	0.03154	15.56345	124.13855
5.76391	12	0.4867	0.03127	16.66637	116.10478
2.67375	12	0.51683	0.03101	17.77747	53.85843
0.66551	12	0.54667	0.03075	18.89673	13.40573
0.35845	12	0.57621	0.03049	20.02416	7.22036
0.25733	12	0.60547	0.03024	21.15976	5.18341
	--	0.63444	0.02998	--	
