time	cp
2	9.83073
4	9.83011
6	9.82953
8	9.8278
10	9.82788
12	9.82822
14	9.82795
16	9.82869
18	9.82932
20	9.82862
22	9.82931
24	9.83024
26	9.82964
28	9.82892
30	9.82852
32	9.82852
34	9.82952
36	9.82909
38	9.82877
40	9.82747
42	9.82628
44	9.82552
46	9.82581
48	9.82549
50	9.8268
52	9.82473
54	9.82373
56	9.82352
58	9.82298
60	9.82279
62	9.82236
64	9.82297
66	9.82255
68	9.82186
70	9.82169
72	9.8221
74	9.82241
76	9.82286
78	9.82379
80	9.82367
82	9.82452
84	9.82437
86	9.82293
88	9.82289
90	9.82143
92	9.82155
94	9.82296
96	9.82133
98	9.82072
100	9.82109
102	9.82224
104	9.82123
106	9.82053
108	9.82037
110	9.8185
112	9.81712
114	9.81734
116	9.81773
118	9.81746
120	9.8169
122	9.81743
124	9.81743
126	9.81717
128	9.82703
130	9.85013
132	9.88292
134	9.91611
136	9.95001
138	9.98298
140	10.0135
142	10.03946
144	10.06185
146	10.08207
148	10.09945
150	10.11512
152	10.12729
154	10.13775
156	10.13714
158	10.12114
160	10.09803
162	10.06966
164	10.04072
166	10.01466
168	9.98947
170	9.96823
172	9.94814
174	9.93127
176	9.91679
178	9.90153
180	9.89035
182	9.88088
184	9.87211
186	9.8644
188	9.85819
190	9.85461
192	9.84967
194	9.84384
196	9.84095
198	9.83808
200	9.83583
202	9.83198
204	9.82899
206	9.82613
208	9.82472
210	9.82283
212	9.82176
214	9.82193
216	9.82032
218	9.81855
220	9.81676
222	9.81578
224	9.81472
226	9.8135
228	9.8127
230	9.81253
232	9.81226
234	9.81191
236	9.81196
238	9.81301
240	9.81267
242	9.81106
244	9.81065
246	9.81102
248	9.80883
250	9.80748
252	9.80883
254	9.80821
256	9.80644
258	9.80573
260	9.80475
262	9.80537
264	9.80712
266	9.80725
268	9.80739
270	9.80533
272	9.80421
274	9.80308
276	9.80162
278	9.80203
280	9.80228
282	9.80314
284	9.80435
286	9.80504
288	9.8031
290	9.80248
292	9.80173
294	9.80147
296	9.80094
298	9.80181
