time	cp
2	0.09593
4	0.09283
6	0.08976
8	0.08555
10	0.08314
12	0.081
14	0.07825
16	0.0765
18	0.07465
20	0.07147
22	0.06967
24	0.06812
26	0.06503
28	0.06183
30	0.05895
32	0.05646
34	0.05498
36	0.05207
38	0.04926
40	0.04548
42	0.0418
44	0.03856
46	0.03637
48	0.03357
50	0.03239
52	0.02784
54	0.02435
56	0.02166
58	0.01864
60	0.01596
62	0.01305
64	0.01117
66	0.00827
68	0.0051
70	0.00245
72	7.92701E-4
74	0.00126
76	0.00186
78	0.00295
80	0.00298
82	0.00398
84	0.00399
86	0.0027
88	0.00281
90	0.0015
92	0.00177
94	0.00334
96	0.00186
98	0.00141
100	0.00193
102	0.00323
104	0.00237
106	0.00182
108	0.00182
110	1.00358E-4
112	-0.00113
114	-7.55994E-4
116	-2.1217E-4
118	-3.29346E-4
120	-7.38522E-4
122	-5.26979E-5
124	9.61261E-5
126	-7.04987E-6
128	0.01
130	0.03326
132	0.0662
134	0.09955
136	0.1336
138	0.16672
140	0.19739
142	0.2235
144	0.24605
146	0.26642
148	0.28396
150	0.29977
152	0.3121
154	0.32271
156	0.32226
158	0.30641
160	0.28346
162	0.25523
164	0.22645
166	0.20054
168	0.1755
170	0.15442
172	0.13448
174	0.11776
176	0.10344
178	0.08832
180	0.0773
182	0.06798
184	0.05937
186	0.05181
188	0.04575
190	0.04233
192	0.03754
194	0.03186
196	0.02912
198	0.0264
200	0.02431
202	0.02061
204	0.01777
206	0.01506
208	0.01381
210	0.01207
212	0.01117
214	0.01153
216	0.0101
218	0.00851
220	0.00691
222	0.00611
224	0.00524
226	0.0042
228	0.00359
230	0.0036
232	0.00352
234	0.00335
236	0.00359
238	0.00482
240	0.00466
242	0.00324
244	0.00301
246	0.00357
248	0.00156
250	3.95415E-4
252	0.00193
254	0.0015
256	-9.08937E-5
258	-6.1333E-4
260	-0.00141
262	-6.08203E-4
264	0.00133
266	0.00164
268	0.00197
270	9.80518E-5
272	-8.42385E-4
274	-0.00179
276	-0.00307
278	-0.00247
280	-0.00204
282	-9.77572E-4
284	4.27412E-4
286	0.00131
288	-4.26619E-4
290	-8.55635E-4
292	-0.00141
294	-0.00147
296	-0.0018
298	-7.38699E-4
300	-0.00117
302	-9.71731E-4
304	-0.00117
306	-7.85762E-4
308	-0.00116
310	-3.76794E-4
312	-6.7981E-4
314	-7.98826E-4
316	-9.04842E-4
318	-3.00858E-4
320	-3.05874E-4
322	-0.00159
324	-0.00306
326	-0.00284
328	-0.00253
330	-0.00325
332	-0.00159
334	-3.95985E-4
336	-7.08001E-4
338	-3.16017E-4
340	-1.20326E-5
342	-0.00103
344	-8.74064E-4
346	-5.0108E-4
348	-0.00149
350	-0.0021
352	-0.00236
354	-0.00129
356	-0.00118
358	-9.71551E-4
360	-0.00196
362	-0.00176
364	2.8012E-4
366	4.42343E-4
368	-7.54433E-4
370	4.08791E-4
372	4.10146E-5
374	-0.00104
376	-4.97538E-4
378	-8.81314E-4
380	-0.00186
382	-0.00322
384	-0.00261
386	-0.00173
388	-0.00207
390	-0.00216
392	-0.00176
394	-0.00156
396	-2.86301E-4
398	9.36923E-4
400	-2.54853E-4
402	-0.00113
404	-3.87406E-4
406	2.28178E-5
408	7.00415E-5
410	9.03265E-4
412	0.00124
414	0.00174
416	0.00247
418	0.00121
420	0.00159
422	6.91437E-4
424	-3.4748E-4
426	3.44604E-4
428	0.00129
430	0.00108
432	-7.25147E-4
434	-6.98064E-4
436	-7.56981E-4
438	-9.70898E-4
440	7.53185E-4
442	1.21269E-4
444	-3.65648E-4
446	-5.03565E-4
448	-8.07482E-4
450	4.69601E-4
452	0.0012
454	0.0012
456	0.00165
458	2.12934E-4
460	-4.50983E-4
462	-0.0014
464	2.18183E-4
466	-1.40734E-4
468	-4.46508E-5
470	1.97432E-4
472	9.28515E-4
474	0.00205
476	0.003
478	0.00325
480	0.00313
482	0.00381
484	0.00168
486	0.00115
488	0.00111
490	7.60485E-4
492	0.0012
494	0.00111
496	9.23523E-4
498	1.17536E-4
500	-1.45451E-4
502	-3.50438E-4
504	-3.44256E-5
506	0.0016
508	0.0024
510	0.00252
512	0.00116
514	6.88639E-4
516	0.00186
518	0.00197
520	0.00133
522	0.00231
524	0.00315
526	0.00283
528	0.00173
530	0.0015
532	0.00148
534	0.00184
536	0.00189
538	8.53793E-4
540	3.49805E-4
542	6.36818E-4
544	-6.55169E-4
546	1.45844E-4
548	6.38568E-5
550	6.4087E-4
552	-9.58118E-4
554	-0.00176
556	-0.00222
558	-0.00172
560	-0.00108
562	-6.6628E-4
564	3.24592E-4
566	7.44464E-4
568	0.00173
570	0.00257
572	0.00272
574	0.00352
576	0.00384
578	0.00146
580	0.00124
582	0.00148
584	0.00175
586	7.54187E-4
588	0.00208
590	0.00197
592	9.64803E-4
594	1.37676E-4
596	-4.08452E-4
598	-3.1658E-4
600	-6.79708E-4
602	-9.73835E-4
604	-4.85963E-4
606	2.36909E-4
608	-2.02219E-4
610	-0.00121
612	-0.00113
614	2.48398E-4
616	-5.8673E-4
618	-0.00147
620	-5.94985E-4
622	2.82887E-4
624	4.27594E-5
626	3.39632E-4
628	-7.24961E-5
630	2.54848E-4
632	-6.32841E-4
634	-6.05313E-5
636	2.00779E-4
638	-1.74911E-4
640	2.70399E-4
642	3.46709E-4
644	0.00124
646	8.0233E-4
648	3.364E-5
650	5.1495E-4
652	-3.6374E-4
654	-7.41429E-4
656	-0.00124
658	-0.00261
660	-0.00372
662	-0.00261
664	-0.00196
666	-9.77568E-4
668	-6.48258E-4
670	-0.00149
672	-7.01638E-4
674	-9.19328E-4
676	-0.00193
678	-0.0016
680	9.36031E-5
682	7.19913E-4
684	0.00105
686	0.00117
688	8.43844E-4
690	1.50154E-4
692	4.84464E-4
694	8.27774E-4
696	0.00127
698	0.00138
700	0.00104
702	-2.12383E-4
704	-8.9705E-4
706	-0.00108
708	-0.00131
710	-6.14048E-4
712	-0.00194
714	-0.00118
716	-9.39046E-4
718	-9.33712E-4
720	-2.63784E-5
722	3.03956E-4
724	-2.70711E-4
726	-4.33767E-5
728	0.01103
730	0.03615
732	0.06836
734	0.10283
736	0.13682
738	0.16867
740	0.19755
742	0.22359
744	0.24559
746	0.26503
748	0.28008
750	0.29455
752	0.30907
754	0.32074
756	0.32385
758	0.30889
760	0.28448
762	0.25606
764	0.22886
766	0.20066
768	0.17563
770	0.15386
772	0.1335
774	0.11671
776	0.10111
778	0.08796
780	0.07589
782	0.06514
784	0.05753
786	0.05112
788	0.04555
790	0.04102
792	0.03691
794	0.03261
796	0.02932
798	0.02699
800	0.02432
802	0.02228
804	0.01822
806	0.01732
808	0.01744
810	0.01537
812	0.01307
814	0.01125
816	0.01133
818	0.01075
820	0.00931
822	0.00851
824	0.00682
826	0.00623
828	0.00647
830	0.0065
832	0.00473
834	0.0031
836	0.00217
838	0.0048
840	0.00632
842	0.00703
844	0.00568
846	0.00521
848	0.00381
850	0.00281
852	0.00251
854	0.00252
856	0.00211
858	0.00197
860	0.00145
862	0.00164
864	9.42857E-4
866	4.1942E-4
868	-3.98018E-4
870	-1.91455E-4
872	9.31107E-4
874	8.1967E-4
876	-4.00768E-4
878	-0.00133
880	-0.00117
882	-5.20799E-5
884	0.00176
886	0.00228
888	0.00126
890	1.17026E-6
892	-2.82672E-5
894	-2.49705E-4
896	-0.00141
898	-0.00134
900	-8.71017E-4
902	-7.71454E-4
904	-9.87892E-4
906	-0.00119
908	-3.14785E-4
910	-0.00138
912	-0.00265
914	-0.00172
916	-0.00152
918	-0.00128
920	2.30431E-4
922	-7.14199E-4
924	-6.2083E-4
926	-0.00117
928	-0.00236
930	-0.00149
932	-0.00141
934	-3.85984E-4
936	-6.07614E-4
938	-0.00113
940	-0.00112
942	-0.00145
944	-7.61372E-5
946	5.17232E-4
948	7.67601E-4
950	5.89971E-4
952	-4.566E-5
954	-0.00138
956	-2.38921E-4
958	-3.85552E-4
960	-2.46183E-4
962	-6.65814E-4
964	-0.00157
966	-9.87075E-4
968	-9.38706E-4
970	5.66368E-6
972	0.00102
974	-4.21598E-4
976	-0.00247
978	-0.00215
980	-0.00158
982	-0.00171
984	-0.00266
986	-0.00334
988	-0.00214
990	-0.00242
992	-0.00219
994	-6.38589E-4
996	-1.65834E-4
998	-1.7408E-4
1000	-5.14325E-4
1002	-6.85571E-4
1004	5.94184E-4
1006	6.39379E-5
1008	6.43692E-4
1010	4.47447E-4
1012	0.00113
1014	0.00113
1016	-0.00101
1018	-0.00157
1020	-8.71781E-4
1022	-3.50268E-5
1024	-4.26272E-4
1026	1.64482E-4
1028	2.82364E-5
1030	1.61991E-4
1032	3.18745E-4
1034	-2.995E-4
1036	6.20254E-4
1038	0.0025
1040	0.00259
1042	0.00163
1044	0.00185
1046	0.00161
1048	0.00113
1050	0.00153
1052	-1.58246E-4
1054	-1.15584E-4
1056	-0.00166
1058	-0.00243
1060	-0.00219
1062	-0.00149
1064	9.27226E-5
1066	9.43384E-4
1068	-0.00122
1070	-0.0025
1072	-0.00167
1074	-1.72971E-4
1076	4.06908E-5
1078	0.00104
1080	-2.94986E-4
1082	-1.15325E-4
1084	1.66336E-4
1086	0.00205
1088	0.00291
1090	0.00129
1092	0.00129
1094	0.00161
1096	0.00146
1098	5.58966E-4
1100	-0.00177
1102	-7.21711E-4
1104	-4.9205E-4
1106	4.16113E-5
1108	9.27273E-4
1110	0.0016
1112	7.75955E-5
1114	-2.10743E-4
1116	-2.65082E-4
1118	8.32126E-4
1120	7.29818E-4
1122	4.5151E-4
1124	5.32202E-4
1126	4.05894E-4
1128	-4.70413E-4
1130	-6.00721E-4
1132	-8.71029E-4
1134	-6.32337E-4
1136	-4.645E-6
1138	-4.07953E-4
1140	-2.55261E-4
1142	-8.44569E-4
1144	-0.00107
1146	-0.00219
1148	-0.00238
1150	-0.00238
1152	-0.00149
1154	2.52584E-4
1156	2.54276E-4
1158	-0.00147
1160	-8.6134E-4
1162	-0.00145
1164	-3.97955E-4
1166	0.0013
1168	9.24429E-4
1170	-6.6879E-5
1172	-6.37187E-4
1174	-3.54495E-4
1176	3.15197E-4
1178	-2.77111E-4
1180	-0.0015
1182	-6.41726E-4
1184	4.59966E-4
1186	-9.42342E-4
1188	-0.00224
1190	-0.00196
1192	-0.00122
1194	-7.05975E-4
1196	1.36394E-4
1198	-0.00147
1200	-0.00193
1202	-9.35498E-4
1204	0.00144
1206	0.00322
1208	0.00237
1210	9.04979E-4
1212	6.05349E-4
1214	0.00112
1216	8.97087E-4
1218	2.67457E-4
1220	-8.70174E-4
1222	-6.66805E-4
1224	5.07564E-4
1226	-5.06621E-6
1228	4.66303E-4
1230	3.88672E-4
1232	2.19042E-4
1234	-0.00101
1236	9.1578E-4
1238	0.00188
1240	0.0029
1242	0.00348
1244	0.0041
1246	0.00371
1248	0.00286
1250	0.00122
1252	0.00141
1254	1.39104E-4
1256	-3.71527E-4
1258	9.85143E-4
1260	-7.0146E-4
1262	-0.00118
1264	-0.00202
1266	-0.00246
1268	-5.26873E-4
1270	0.00148
1272	0.00169
1274	4.72318E-4
1276	2.54714E-4
1278	1.84111E-4
1280	1.06508E-4
1282	9.04942E-7
1284	-3.04698E-4
1286	1.73699E-4
1288	4.93095E-4
1290	-3.95078E-5
1292	-7.64111E-4
1294	-0.00128
1296	-1.75317E-4
1298	0.00135
1300	0.00183
1302	-3.41268E-5
1304	-8.4973E-4
1306	-2.90333E-4
1308	2.41064E-4
1310	3.4846E-4
1312	0.00168
1314	4.66254E-4
1316	-5.43491E-5
1318	-6.35952E-4
1320	5.07445E-4
1322	2.05841E-4
1324	-8.27762E-4
1326	-0.00204
1328	0.00544
1330	0.02838
1332	0.06199
1334	0.09671
1336	0.1297
1338	0.15993
1340	0.1898
1342	0.21502
1344	0.23696
