time	cp
2	0.51316
4	0.49788
6	0.48308
8	0.46885
10	0.45521
12	0.43954
14	0.42409
16	0.4082
18	0.39327
20	0.37817
22	0.36269
24	0.3493
26	0.33489
28	0.31975
30	0.30612
32	0.29129
34	0.27576
36	0.26113
38	0.24478
40	0.22954
42	0.21601
44	0.20242
46	0.188
48	0.17207
50	0.15761
52	0.14491
54	0.13003
56	0.11478
58	0.1004
60	0.08674
62	0.07155
64	0.05739
66	0.04064
68	0.02544
70	0.00947
72	-0.00313
74	-0.00115
76	8.17049E-4
78	-5.07573E-5
80	-0.00161
82	-7.07371E-4
84	-5.89178E-4
86	7.12016E-4
88	6.02209E-4
90	-0.00107
92	-0.00135
94	-9.61211E-4
96	-8.70018E-4
98	-0.00105
100	-0.00107
102	-3.44386E-5
104	6.05755E-4
106	-3.74052E-4
108	-3.86859E-4
110	-2.56656E-5
112	1.38528E-4
114	1.84721E-4
116	0.00102
118	0.00181
120	0.00232
122	5.92494E-4
124	4.94687E-4
126	-5.3312E-4
128	-0.00408
130	-0.00661
132	-0.00724
134	-0.00855
136	-0.00771
138	-0.00966
140	-0.00998
142	-0.01121
144	-0.01301
146	-0.01347
148	-0.0148
150	-0.01508
152	-0.01428
154	-0.01265
156	-0.00817
158	-0.0071
160	-0.00621
162	-0.00467
164	-0.00302
166	-0.00214
168	-0.00282
170	-0.00224
172	-0.0019
174	-0.00131
176	-0.00147
178	-0.00221
180	-0.00152
182	-0.00108
184	-1.55188E-4
186	-8.59917E-4
188	-9.19646E-4
190	0.00101
192	0.00134
194	8.20167E-4
196	-1.21562E-4
198	-0.00153
200	-8.37019E-4
202	-0.00144
204	-0.00196
206	-0.00193
208	-0.00157
210	-0.00143
212	-0.00181
214	-0.00154
216	-0.00248
218	-0.00225
220	-0.00173
222	-0.00128
224	-0.00258
226	-0.00275
228	-0.00179
230	-9.49232E-4
232	-6.40779E-4
234	-1.62327E-4
236	2.16125E-4
238	-6.03422E-4
240	-6.5797E-4
242	-0.00115
244	-0.00139
246	-0.00238
248	-0.00281
250	-0.00159
252	5.30744E-4
254	9.41196E-4
256	3.16648E-4
258	3.47101E-4
260	4.35529E-5
262	2.05005E-4
264	8.34575E-5
266	3.7091E-4
268	7.41362E-4
270	0.00132
272	0.00193
274	0.00249
276	0.0023
278	0.0012
280	0.00114
282	2.47559E-4
284	6.52558E-4
286	-9.53444E-4
288	-3.33445E-4
290	0.00144
292	6.93552E-4
294	1.92551E-4
296	0.0011
298	0.00105
300	4.17547E-4
302	4.71545E-4
304	8.61544E-4
306	-1.54458E-4
308	-4.14589E-5
310	4.5654E-4
312	6.15384E-5
314	9.25537E-4
316	7.39536E-4
318	0.0021
320	0.00301
322	0.0017
324	0.00177
326	0.00221
328	0.00154
330	0.0014
332	-5.37475E-4
334	-0.00108
336	9.05218E-5
338	4.75205E-5
340	-9.60481E-4
342	-0.00127
344	-0.00115
346	-0.00104
348	-0.0011
350	-3.54878E-5
352	-0.00133
354	-0.00135
356	-0.00139
358	-7.57646E-4
360	0.00113
362	0.00132
364	5.66217E-5
366	-0.0011
368	-0.0012
370	-0.00128
372	-0.0012
374	-3.56932E-4
376	2.49157E-4
378	5.40246E-4
380	1.84335E-4
382	0.00132
384	0.00215
386	0.00261
388	0.00139
390	6.51782E-4
392	-4.81129E-4
394	-3.6204E-4
396	6.65049E-4
398	7.57138E-4
400	-2.10772E-4
402	-6.43683E-4
404	-5.53594E-4
406	-6.83505E-4
408	-0.00107
410	-8.10326E-4
412	5.48763E-4
414	0.00151
416	0.00147
418	7.95031E-4
420	-8.3188E-4
422	-4.93972E-4
424	1.11936E-4
426	-6.67156E-4
428	-2.61248E-4
430	0.00117
432	0.00158
434	3.42476E-4
436	7.1384E-5
438	-0.00141
440	-4.078E-4
442	-0.0017
444	-0.00195
446	-0.00228
448	-0.00241
450	-0.00156
452	-0.00122
454	-3.20444E-4
456	3.54643E-5
458	0.00124
460	4.2628E-4
462	-3.05812E-4
464	-0.00109
466	-9.91996E-4
468	-8.98088E-4
470	-1.18179E-4
472	8.38729E-4
474	0.00172
476	9.96545E-4
478	8.40453E-4
480	0.00156
482	4.68269E-4
484	2.36177E-4
486	6.48085E-4
488	6.39993E-4
490	2.95204E-4
492	-6.507E-5
494	-0.00164
496	-7.22618E-4
498	7.88108E-4
500	7.07835E-4
502	0.00129
504	0.00107
506	9.4013E-5
508	-4.63261E-4
510	-6.07535E-4
512	-0.00115
514	-9.38082E-4
516	-3.67356E-4
