          DH  INJV           Xt           Mt          XMt          NDH
     0.04123   0.1      0.00000      0.00000      0.00000      0.00000
     0.00147   0.1      0.00000      0.00000      0.00000      0.00000
    -0.01752   0.2      0.00000      0.00000      0.00000      0.00000
    -0.15123   0.4      0.00000      0.00000      0.00000      0.00000
    -0.24391   0.8      0.00000      0.00000      0.00000      0.00000
    -0.70335   1.6      0.00000      0.00000      0.00000      0.00000
    -1.29271   3.2      0.00000      0.00000      0.00000      0.00000
    -2.40970   6.4      0.00000      0.00000      0.00000      0.00000
    -5.16287  12.8      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
