          DH  INJV           Xt           Mt          XMt          NDH
     0.07223   0.1      0.00000      0.00000      0.00000      0.00000
    -0.00878   0.1      0.00000      0.00000      0.00000      0.00000
    -0.04436   0.2      0.00000      0.00000      0.00000      0.00000
    -0.10486   0.4      0.00000      0.00000      0.00000      0.00000
    -0.51437   0.8      0.00000      0.00000      0.00000      0.00000
    -0.98068   1.6      0.00000      0.00000      0.00000      0.00000
    -1.69225   3.2      0.00000      0.00000      0.00000      0.00000
    -3.15281   6.4      0.00000      0.00000      0.00000      0.00000
    -6.43770  12.8      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
