DH	INJV	Xt	Mt	XMt	NDH
-0.61309	10	0	0.1	0.00703	-613.08745
-0.71404	10	6.98511E-4	0.0993	0.01412	-714.03731
-0.19843	10	0.00139	0.09861	0.02125	-198.42838
-0.87614	10	0.00208	0.09792	0.02843	-876.13536
-0.76996	10	0.00276	0.09723	0.03566	-769.96266
-0.75485	10	0.00344	0.09656	0.04294	-754.85155
-0.75431	10	0.00412	0.09588	0.05027	-754.30972
0.13441	10	0.00479	0.09521	0.05765	134.4092
-0.91375	10	0.00545	0.09455	0.06508	-913.75108
-0.40385	10	0.00611	0.09388	0.07255	-403.84797
-1.06672	10	0.00676	0.09323	0.08008	-1066.71573
-0.00693	10	0.00741	0.09258	0.08765	-6.93331
-0.61082	10	0.00806	0.09193	0.09528	-610.81646
-0.85322	10	0.0087	0.09128	0.10295	-853.22271
-0.68054	10	0.00933	0.09065	0.11067	-680.54496
-1.35555	10	0.00996	0.09001	0.11844	-1355.54663
-0.54362	10	0.01059	0.08938	0.12626	-543.62099
-0.96139	10	0.01121	0.08875	0.13413	-961.38778
0.08722	10	0.01182	0.08813	0.14205	87.21714
-1.05337	10	0.01243	0.08751	0.15002	-1053.37345
-0.37613	10	0.01304	0.0869	0.15804	-376.12703
-1.8339	10	0.01364	0.08629	0.1661	-1833.89771
-0.67877	10	0.01423	0.08568	0.17422	-678.77431
0.15634	10	0.01482	0.08508	0.18238	156.34245
-0.5304	10	0.01541	0.08448	0.1906	-530.40244
-1.38668	10	0.01599	0.08389	0.19886	-1386.68294
	--	0.01656	0.0833	--	
