time	cp
2	9.76783
4	9.76685
6	9.76626
8	9.76671
10	9.76596
12	9.76608
14	9.76642
16	9.76548
18	9.76467
20	9.76517
22	9.76436
24	9.76505
26	9.76428
28	9.76372
30	9.76367
32	9.76442
34	9.76553
36	9.76577
38	9.76548
40	9.76526
42	9.76571
44	9.76593
46	9.7656
48	9.76559
50	9.76553
52	9.76516
54	9.765
56	9.76535
58	9.76565
60	9.76568
62	9.76647
64	9.76688
66	9.76628
68	9.76649
70	9.76568
72	9.76512
74	9.76534
76	9.76603
78	9.76546
80	9.76512
82	9.76551
84	9.76692
86	9.76755
88	9.76753
90	9.76715
92	9.76691
94	9.76685
96	9.76671
98	9.76645
100	9.76575
102	9.76629
104	9.76612
106	9.76573
108	9.76544
110	9.76516
112	9.76551
114	9.76552
116	9.76608
118	9.76647
120	9.76527
122	9.76592
124	9.76624
126	9.7657
128	9.76597
130	9.76577
132	9.76498
134	9.76596
136	9.76581
138	9.76486
140	9.76523
142	9.76534
144	9.76571
146	9.76552
148	9.76538
150	9.76603
152	9.76628
154	9.76632
156	9.76663
158	9.76549
160	9.76554
162	9.7654
164	9.76687
166	9.76755
168	9.76731
170	9.76591
172	9.76558
174	9.76565
176	9.76597
178	9.76613
180	9.76607
182	9.76505
184	9.76481
186	9.76478
188	9.7647
190	9.76457
192	9.76424
194	9.7642
196	9.76439
198	9.76508
200	9.76531
202	9.76533
204	9.76559
206	9.76585
208	9.76499
210	9.76465
212	9.76448
214	9.76431
216	9.76543
218	9.76566
220	9.76544
222	9.76563
224	9.76647
226	9.76666
228	9.7672
230	9.76739
232	9.76778
234	9.76785
236	9.76699
238	9.76718
240	9.76672
242	9.76703
244	9.76678
246	9.7662
248	9.76643
250	9.76626
252	9.76624
254	9.7663
256	9.76601
258	9.76618
260	9.76584
262	9.76602
264	9.76646
266	9.7673
268	9.76704
270	9.76667
272	9.76716
274	9.76687
276	9.76593
278	9.76598
280	9.76612
282	9.76642
284	9.76675
286	9.76681
288	9.76694
290	9.76636
292	9.76589
294	9.7663
