          DH  INJV           Xt           Mt          XMt          NDH
    -0.75907   0.2      0.00000      0.00000      0.00000      0.00000
    -3.53850   3.0      0.00000      0.00000      0.00000      0.00000
    -3.02954   3.0      0.00000      0.00000      0.00000      0.00000
    -2.62341   3.0      0.00000      0.00000      0.00000      0.00000
    -2.31829   3.0      0.00000      0.00000      0.00000      0.00000
    -2.02555   3.0      0.00000      0.00000      0.00000      0.00000
    -1.73077   3.0      0.00000      0.00000      0.00000      0.00000
    -1.46148   3.0      0.00000      0.00000      0.00000      0.00000
    -1.11641   3.0      0.00000      0.00000      0.00000      0.00000
    -0.73783   3.0      0.00000      0.00000      0.00000      0.00000
    -0.28741   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
