          DH  INJV           Xt           Mt          XMt          NDH
     0.77355   0.5      0.00000      0.00000      0.00000      0.00000
     5.63988   3.0      0.00000      0.00000      0.00000      0.00000
     3.65819   3.0      0.00000      0.00000      0.00000      0.00000
     1.67734   3.0      0.00000      0.00000      0.00000      0.00000
     0.48858   3.0      0.00000      0.00000      0.00000      0.00000
     0.04496   3.0      0.00000      0.00000      0.00000      0.00000
     0.01884   3.0      0.00000      0.00000      0.00000      0.00000
    -0.07666   3.0      0.00000      0.00000      0.00000      0.00000
     0.01884   3.0      0.00000      0.00000      0.00000      0.00000
     0.14872   3.0      0.00000      0.00000      0.00000      0.00000
     0.16383   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
