          DH  INJV           Xt           Mt          XMt          NDH
    -0.20447   0.5      0.00000      0.00000      0.00000      0.00000
     0.02273   0.5      0.00000      0.00000      0.00000      0.00000
     0.22926   0.5      0.00000      0.00000      0.00000      0.00000
     0.28323   0.5      0.00000      0.00000      0.00000      0.00000
     0.40013   0.5      0.00000      0.00000      0.00000      0.00000
     0.32741   1.0      0.00000      0.00000      0.00000      0.00000
     0.24194   1.0      0.00000      0.00000      0.00000      0.00000
     0.21326   1.0      0.00000      0.00000      0.00000      0.00000
     0.14378   1.0      0.00000      0.00000      0.00000      0.00000
     0.21715   1.0      0.00000      0.00000      0.00000      0.00000
     0.10824   2.0      0.00000      0.00000      0.00000      0.00000
    -0.04706   2.0      0.00000      0.00000      0.00000      0.00000
    -0.28111   2.0      0.00000      0.00000      0.00000      0.00000
    -0.61907   2.0      0.00000      0.00000      0.00000      0.00000
    -0.79555   2.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
