          DH  INJV           Xt           Mt          XMt          NDH
    -0.29285   0.5      0.00000      0.00000      0.00000      0.00000
    -0.01739   0.5      0.00000      0.00000      0.00000      0.00000
     0.11705   0.5      0.00000      0.00000      0.00000      0.00000
     0.17455   0.5      0.00000      0.00000      0.00000      0.00000
     0.20685   0.5      0.00000      0.00000      0.00000      0.00000
     0.09508   0.5      0.00000      0.00000      0.00000      0.00000
     0.17445   0.5      0.00000      0.00000      0.00000      0.00000
     0.16461   0.5      0.00000      0.00000      0.00000      0.00000
     0.21211   0.5      0.00000      0.00000      0.00000      0.00000
     0.28906   0.5      0.00000      0.00000      0.00000      0.00000
     0.13703   1.0      0.00000      0.00000      0.00000      0.00000
     0.05990   1.0      0.00000      0.00000      0.00000      0.00000
     0.11756   1.0      0.00000      0.00000      0.00000      0.00000
     0.08381   1.0      0.00000      0.00000      0.00000      0.00000
     0.01523   1.0      0.00000      0.00000      0.00000      0.00000
    -0.04332   1.0      0.00000      0.00000      0.00000      0.00000
    -0.10626   1.0      0.00000      0.00000      0.00000      0.00000
    -0.13629   1.0      0.00000      0.00000      0.00000      0.00000
    -0.23233   1.0      0.00000      0.00000      0.00000      0.00000
    -0.24200   1.0      0.00000      0.00000      0.00000      0.00000
    -0.03518   2.0      0.00000      0.00000      0.00000      0.00000
    -0.05016   2.0      0.00000      0.00000      0.00000      0.00000
    -0.00873   2.0      0.00000      0.00000      0.00000      0.00000
    -0.04827   2.0      0.00000      0.00000      0.00000      0.00000
    -0.03619   2.0      0.00000      0.00000      0.00000      0.00000
     0.07600   2.0      0.00000      0.00000      0.00000      0.00000
     0.10721   2.0      0.00000      0.00000      0.00000      0.00000
     0.23516   2.0      0.00000      0.00000      0.00000      0.00000
     0.18561   2.0      0.00000      0.00000      0.00000      0.00000
     0.32218   2.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
